#separator:Comma
#html:false
#guid column:4
expression,reading,meaning,guid
不平,ふへい,"complaint, discontent, dissatisfaction",0fQuGoAVtoG05qlSKIIN
大した,たいした,"Significant, great, considerable",0fd8M7kCETX6QAXfoaYd
注,ちゅう,"Annotation, explanatory note",0iSlLNybcu3OoINoUA9o
ブレーキ,ブレーキ,Brake,0jK0JzrPjv62BqLmHRVU
地球,ちきゅう,Earth,0kkREDxgVg9ZYWCBGkMz
文字,もんじ,Letter or Character,0lpSfn56AsX2UGT8KhNk
才能,さいのう,"talent, ability",0nohm5JtYs6dDSZRsYcH
法,ほう,Act,0nztYK87DNVd25jFQlOu
失業,しつぎょう,unemployment,0pTpHkQeJuC1aF2yVHWT
墨,すみ,Ink,0qJC8sKChCrC5MShsLUv
無事,ぶじ,"Safety, peace",0r8jVQdNp2pjqVkUsuoW
延期,えんき,"Postponement, Adjournment",0sEYKAgNruWSqaT1VNt4
郵便,ゆうびん,"mail, postal service",0sQ3JUZF5BUhMguKsNi1
協力,きょうりょく,"cooperation, collaboration",0xp4iN6WGaFnWdhNcbF0
アウト,アウト,Out,0yEyZXYzz0rrev6Hfr0S
気の毒,きのどく,"pitiful, a pity",0zAf9T5hnJiFQG0AGeIe
あんなに,あんなに,"to that extent, to that degree",0zxFAT9NrxEC8542EV6B
勧める,すすめる,"recommend, urge",10BfHDxLOwVX3BP7n4HG
湿気,しっき,"Moisture, humidity, dampness",10MbEq7yP4v38paRiEke
琴,きん,Koto,10bfjLlMQ5fYTBcKiDWF
いつか,いつか,"Sometime, one day",11DIlID0z07x5lP7yh4x
あんまり,あんまり,"not very, not much",12CtTJTptOCWOtPsmfNl
自然,しぜん,"Nature, spontaneous",13ZZKadivUlW4WKwZ11o
刑事,けいじ,"Criminal case, detective",188HPfNo7TKrp2QaxPjh
住,じゅう,"Dwell, live",1CD91qVb8OLPMqXB9CEp
膳,ぜん,Dining tray,1GBObHtZN84Gnd2LCWxX
全身,ぜんしん,Whole body,1HkcFBhQ2IhnMbO7ReG0
不通,ふつう,"Interruption, blockade, stoppage",1IV8bV3cJInfEsXC9PzC
ケース,ケース,Case,1NcqbL6muDtvN26AsWVG
コード,コード,"Code, cord, chord",1ORUynfnzXNw6VEbnpfR
今後,こんご,"From now on, hereafter",1Ol2wGluzUY9B3x4Hii1
給料,きゅうりょう,Salary,1PlJD9IqmGCeoP1pnjt2
沈む,しずむ,Sink; feel depressed,1Ubw5gf4JScdujdZc64d
兎,うさぎ,Rabbit,1V6anM9vcNDNmejsDTdw
恐ろしい,おそろしい,"terrible, dreadful",1V8lVF9dcboObHOgZDvd
ほっと,ほっと,Relieved,1VFCdWcSAX3hTknWfsAw
欠席,けっせき,Absence,1VpjXpBa0TmS4b7VUxui
犯罪,はんざい,crime,1YdvpG1MMPS7r5MHZl8M
地位,ちい,"Status, position",1andE2eBB3W1r6fHtbgG
土産,みやげ,Souvenir,1bAHH4r06pY5vY5OX4rK
明確,めいかく,"clear, definite",1bhgenio7atf9L1LljSc
建つ,たつ,"to stand, to be built",1dJ9du3W05WJfbNbUE4K
衝突,しょうとつ,"Collision, conflict",1iPWSMgRpSL0QAokgVwD
握る,にぎる,"Grasp, seize, mold sushi",1k6zxJRysuLvTr9F7MMT
実行,じっこう,execution,1nd3YG7Xm94fVmWDVoCe
義務,ぎむ,"duty, obligation, responsibility",1o3yv7lXcyNoRpZZdSk9
深刻,しんこく,Serious,1oHvlP0h6ZDNRAITw4F1
いけない,いけない,"Must not do, bad, wrong",1oel0BZmDJTPsAZS6ms1
自動,じどう,Automatic,1oyfQj7tynvINaMWP1Xk
方,ほう,"Person, way of doing",1p5SlV7zBTrTKDvltU0b
材料,ざいりょう,"Ingredients, Material",1sgh9nedJzUjYm1zv5qf
個人,こじん,Individual,1tnHimZSE2S8g6fnnIvn
澄む,すむ,"clear, become transparent",1vqwzKMDZuB38kJtlZYY
表す,あらわす,"express, show",1xjCx1Fwdo3qnUWfLkHn
近視,きんし,nearsightedness,1xmZMWP90HB0EeiZkeDO
逮捕,たいほ,"Arrest, apprehension, capture",1y8ejVJyquMaMuVMQUAQ
判断,はんだん,"judgment, decision",1yjBxaQWq9UeR8ypPFMY
ワイン,ワイン,Wine,26HARng84PUnBGngpn4v
害,がい,"Harm, damage",26eYNmqfYtBl7l6fqI5P
級,きゅう,"grade, rank, class",26vnE90oDFpLLAMjgyT1
亡くす,なくす,Lose,274XMjHFJFH8trmxlhsj
確認,かくにん,Confirmation,27Cwhfawks24kPDeUcvX
ラケット,ラケット,racket,28jKkleqmcPq9ezS3lYX
濃い,こい,"thick, dense, strong",2BJtqnUgZy5o0OnKDG0v
広がる,ひろがる,"spread, extend, stretch, reach",2DxiSKj24tinJG4iAwpl
質,しつ,"Quality, nature",2H7Om3VXHHk3kRqRni9Y
ぴったり,ぴったり,"Exactly, neatly, sharp",2IIUIYjXFsNYIZepT2Zt
苦痛,くつう,"pain, agony",2KXHQsjqOSu07Tms5TVW
小銭,こぜに,Small change,2KqtaFICXMgvuUaiW1kV
論争,ろんそう,"Controversy, dispute",2QwsSlBy5G2Wk6EsP6RA
免許,めんきょ,License,2YSeV4qU48olojYrFBJg
他,ほか,Other,2YoRx08rSEX4jps0T12u
なにも,なにも,Nothing,2ZJ29j2zD51kuUSUgiAS
妙,みょう,"Strange, unusual",2g9YQvDZ0yV5zAU7PiSa
判,はん,Size,2gFST549k0nUnTR8HCx5
物音,ものおと,Sound,2gGqOFOrJtm6B8hKDKh9
莫大,ばくだい,"Enormous, vast",2gtYZjduQqtESUKhuJCt
曜日,ようび,Day of the week,2hC2OS6Qr4qnAcLDHmwx
海外,かいがい,overseas,2jzeVRaAkdzhupzy2nmv
スケジュール,スケジュール,Schedule,2lQFT1hdE7LuURUK2sZ5
指す,さす,point,2mpLiZdX1fL2g3EScqpV
砂漠,さばく,desert,2nl4T6cLtxU8nY1CukEJ
角,つの,corner,2tXoEd6Kd0RQgcFYw33T
機械,きかい,machine,2vIMufdpp1GszhQJWQHG
そこで,そこで,"Therefore, accordingly",319QymqyB2XYwuwITYJs
従姉妹,いとこ,Cousin,34MZVaQsKW28QfFjnTvy
感情,かんじょう,"emotions, feelings, sentiments",36irtuIEEXETATwmM3sE
延ばす,のばす,"Extend, stretch, reach out",39uVbOfBqEeg8YeYtmwc
じっと,じっと,"patiently, quietly",3FF9K9Qd766ADHH7T4YB
班,はん,"Group, party, section",3GHA1zzhbwjmS0TYPUBy
暖まる,あたたまる,warm up,3IUjuKXQkRnmjkFKlYdc
優勝,ゆうしょう,Championship,3Jw5QVpPcAh7F3P4N6fo
生える,はえる,"grow, spring up; cut (teeth)",3KPeBajEiJ0QNTD6fHnR
突く,つつく,"Thrust, strike, poke",3N72AEo5DzvwJe18nis1
異常,いじょう,"abnormality, disorder, strangeness",3PR3M0YxNDU1JWRylQSf
陰,かげ,"Shade, shadow, other side",3PSl4eid4QiZWsVEfMvh
人気,ひとけ,Popularity,3Q6C8YcJwc6kOP8lLLMK
スピーチ,スピーチ,Speech,3Ums9xRUcuN6Zt2UkAEe
ドライブ,ドライブ,Drive,3UxKilmXqd1334zo8qbp
決行,けっこう,Carry out,3X4URLajHnHrW4jh4g7V
少年,しょうねん,"boy, juvenile",3YiQLpFihOWUJMUU7WNo
年鑑,ねんかん,Yearbook,3Z98UfvMR3IVtDAoKJ1o
仲間,なかま,"Colleague, associate, fellow",3ZelZIcBWkK7Nqj6cZrv
博物館,はくぶつかん,Museum,3b685CNfji0yHiLcy3g3
平均,へいきん,"Average, equilibrium, balance",3iGncWVmzsGj8kRdlVbI
屋根,やね,Roof,3iohUnpUA6V4DTYQGsUQ
乾かす,かわかす,Dry,3jnYFikh83VJFoMwjHwu
急激,きゅうげき,Sudden precipitous radical,3kO5XWxhf4EJBUJuHa7r
大いに,おおいに,"Greatly, considerably",3kjrzqqfGnMjsuVMRdGA
尻,しり,"Buttocks, bottom",3kpTnMPey0XYfLN9ztVu
医師,いし,"Doctor, Physician",3lWuhBS4X2TZnB5qWcP7
冷める,さめる,"cool down, wear off",3neh0gok0aG6dXA51UU0
賛成,さんせい,"approval, agreement",3oBF5rdncUzWVmxsjirY
渇く,かわく,Thirsty,3r03n15VMmqNPpBVdZTb
脳,のう,Brain,3v7kLPB2txY5MH0ZWNQN
慌てる,あわてる,"Panic, fluster",3xMXfX0LsvBW4r7oYF4f
大戦,たいせん,Great War,3zPEH6L6RqjAUjOz7rJM
数,かず,Number,44O6XyIsKhQMepnLxinp
裏切る,うらぎる,betray,486vnDmdc4Ye1N9xco0W
世の中,よのなか,the world,48nXcmDZMli7wGxCP1op
成長,せいちょう,Growth,4AG2MZOG11Y4dRlkXBio
尊敬,そんけい,"Respect, reverence, honor",4D2uWolZzQHOo0jLklAF
空き,あき,"Vacancy, opening, space",4D6sr9TRXihNFfzehwwd
清む,すむ,"Clear, become transparent",4Euq3p8d9mox8vtupV5w
青年,せいねん,"Youth, young man",4F2eoQ260DsN3gITz6TG
出来事,できごと,"Incident, Event",4G1yeW10iR2w8qVQBdMV
あちこち,あちこち,here and there,4HByavpH6pkYYa7kBnhK
ボート,ボート,Rowing boat,4ImDa39EHElcaMxtZcFS
助詞,じょし,particle,4JUkOomDatDYYbAOcQt1
版,はん,Edition,4KTqbVzR5EkXbaNM2sWO
機能,きのう,"function, faculty",4LVUkZYuAIMQKe3jAYDc
強まる,つよまる,"to strengthen, to gain strength",4Nqqy4NrLpkVYJgLNRLk
こぼれる,こぼれる,"spill, overflow",4SQCfTeIxr8hYKgtYawS
稲,いね,rice plant,4SpjHXZbl9sqvz0le8W0
合わせる,あわせる,Combine,4T5Z2IJIFcKXiByS7nd3
支える,ささえる,"Support, hold, sustain",4Tee5rUdn9yPnTTQ2FY9
抱く,だく,"Hold, embrace, harbor",4UIZddNEAna4zsqCzhGo
唯一,ゆいいつ,"Sole, unique",4X2LSrA7uOQsCNGXq0ht
預かる,あずかる,keep for,4XXr2fKBkvjaEHNtcuJQ
予想,よそう,"Expectation, anticipation, prediction",4YDSCR4TRkGC9DyqplAT
火災,かさい,"Conflagration, fire",4bcCk42Wx01Im4ObHwdm
相当,そうとう,"Considerably, fairly; worth ~",4cLMvJ7yHJiWN16oN6HS
処理,しょり,"Processing, treatment, disposition",4d6cT8BCGBHpGeEmso2I
蒔く,まく,sow,4hkvgn7fanCb7ikZyoqK
現場,げんば,"scene, field, actual spot",4kOMhoMM1batAYywSXNh
松,まつ,Pine,4lO6mwfiUNopEL5vitXP
肌,はだ,skin,4moUqXqkmpk7lKGUtNsl
写る,うつる,"to be photographed, to be projected",4ogXII5tmnvyq05Quhud
胸,むね,"Breast, chest",4qVpshakxo3bPbSa9SFT
訳す,やくす,Translate,4r2pbbK6MVrxL835dg6T
とんでもない,とんでもない,"Outrageous, No way!",4t55XAQ0AcFuKG00dLFo
資格,しかく,Qualification,4uFcvxeTj7w2HQwgV3Q7
依頼,いらい,request; dependence,4wwQaycBIa0uCGg5hX9r
能,のう,"Capable, skilled, well",4xAd9H1PJqZshefNK6Td
僅か,わずか,"Scarcely, merely, a little",4xHyBOiX4L3waMdO8BwE
位置,いち,position,4zL7wVPqcK6vKhcX3SGY
商人,しょうにん,merchant,4ztn262H1eKaZWxS8wuW
光景,こうけい,"scene, spectacle",50fS0G5DieNsM9LMisfa
推薦,すいせん,recommendation,55XeglZQjKYzOYwWr4HK
集中,しゅうちゅう,Concentration,57UcPKfVdsb1SgyqgrUo
腹,はら,"Abdomen, belly, stomach",58CSk0ZGox5dDidpv4Aa
怒り,いかり,Anger,58T5h4s35ziuJJMCqtkn
伝統,でんとう,tradition,59k09JOdw2waV2kIuxBh
まるで,まるで,Just like,59z2HAYlzukNVzQdF5vi
鼠,ねずみ,"mouse, rat",5BJqyTms5eUUWBI3RmpL
当然,とうぜん,"Obvious, natural",5DI05q0g0rBa0VPfryVC
およそ,およそ,"approximately, roughly, about",5FtVJxeZ1KWWDpklvTSJ
知恵,ちえ,"Wisdom, wit, intelligence",5GRD4xMbwvOfW0FQrXdA
大家,たいか,Landlord,5GiJgkPVxMRz6DvVPfxP
洗剤,せんざい,Detergent,5GsYwX66GY5kssNOAMxY
創造,そうぞう,Creation,5Guj8aOuYe8hynM3duxN
国家,こっか,"State, country, nation",5MxE7r7VzM7nH0TDAoXT
幅,はば,Width,5N2V7yn00DQJR4dT8DIS
氷,こおり,"Ice, Hail",5OWRhfNynV6KasTpgPWE
幸せ,しあわせ,Happiness,5SAofunQePhBzGM1fHzK
膝,ひざ,"Knee, lap",5SgTM0smnicbLYpK09Rq
金庫,きんこ,"Safe, Vault",5TLQQU2xZLbUtx9rbwWL
単位,たんい,"credit, unit, denomination",5VmaGoD0alTb8QiNzjmD
国会,こっかい,National Diet,5W3u8jmodKMOE3Sl0Oqq
ノー,ノー,No,5XkHxrzKhSn1tBPzIGAV
歩道,ほどう,Sidewalk,5Z3NWVx44Np1SApP9zrE
殺す,ころす,kill,5ZbrPYEEC0qLcp7jAJ66
者,もの,Person,5ZcLWIyk9VehdlkkcxXe
知合い,しりあい,Acquaintance,5bMNhHHUHciDnYe77xzu
死,し,Death,5dQxQ4SYqfAp5075TcrQ
季刊,きかん,Quarterly,5iGenRM58KZG7dN8jizW
参考,さんこう,"Reference, consultation",5jeAZxbQ2Goc3PAa51dk
患者,かんじゃ,Patient,5m4TgXu3mEjVr0dvimK9
農民,のうみん,"Farmers, peasants",5tPx5kUb1MKtxQacPsVJ
未来,みらい,future,5v1KMPRxLJFb6ptOBMcO
射す,さす,"Shine, strike",5vcLQsVavsTsLQOtoksJ
熱中,ねっちゅう,"enthusiasm, zeal, mania",5xSnlDOhuNNMk8gKpvM5
保証,ほしょう,"Guarantee, assurance, warranty",634vYmCVsG4j0ykJGQGb
単なる,たんなる,"mere, simple",69wE3J4EcYhgD6dseuBn
倒す,たおす,"throw down, beat",69xKxnhcpFIGZsz110kh
こぼす,こぼす,spill,6GVC4Y9HaxXao3ZvB5rl
針,はり,"needle, hand",6HoMplpbSBczN8RlbgZf
僧,そう,Monk,6JVSVS9bHDBG8Fv4K2o2
四季,しき,Four seasons,6Kg3tmPkNS1819kdeHEE
志望,しぼう,"Ambition, desire, wish",6KgFvfPtQceRV1Z1QqEx
切れ,きれ,"Piece, cloth, cut",6LNtEotL212Rsb97aOjZ
粉,こな,"flour, powder",6Mm0K3NOZ4qKlshwNBct
酢,す,Vinegar,6NWmKf2vjrjx4D0HXtIx
密,みつ,"Dense, close",6PQsjkcTswPf3NKp8Lad
語句,ごく,Words and phrases,6RfJB4ksvztZb8GlTGwD
示す,しめす,"Show, indicate",6RhEkhHACP12zyE2HwEQ
いつでも,いつでも,"Any time, always",6RjMLYNtddy76J5qTLnv
綿,わた,Cotton,6UMR4gfuqWOzaqKiw0FZ
勘,かん,Intuition,6VYD0AEbVAzXCo3y9MEn
経由,けいゆ,via,6WRbYwYJkVIfMyzGm6Rt
攻撃,こうげき,"attack, strike, offensive",6XdoAAEutXsmUWhOMO3V
愉快,ゆかい,"Pleasant, happy",6dl1juVy3jYZBFa5kyUr
宿,やど,"Inn, lodging",6g5zokLbSMEiht5wVEN8
戻す,もどす,"Restore, put back, return",6h3N5RzGquRDk6yUm4l8
馴れる,なれる,Tame,6hMJqOQkUNkhjxPCgPtk
服装,ふくそう,Attire,6kuyrPJKA9mx8kmUYYBd
思い付く,おもいつく,Come up with,6lbFouJZjZhymeHNj2OX
双子,ふたご,Twins,6m0TUmEsWFzgO6bef8eR
引用,いんよう,"quotation, citation",6nBDA5n0mfSAjVlNUjle
女子,じょし,"Woman, girl",6nYZiN9iK0aguhpXMeO4
片付く,かたづく,"be put in order, be settled",6oL1YApKjHNlm3ZT5U5O
混ぜる,まぜる,"mix, stir",6svzM7EdLynIPXQLoars
さて,さて,"Well, now",6tRAoDKyv3ebeveyykYk
塀,へい,"Wall, fence",6ttZmwfJK26X0MaBMCQT
偶,たま,"Even number, couple, friend",6v1eoPsnjVQZI7WrpenS
吐く,はく,"throw up, vomit",6v93IeMBcMcKoMc39uIl
辞退,じたい,Refusal,6x6NmmCLFDVl9ypdasOy
掃く,はく,"Sweep, brush, gather up",6yY6X9n5iXLEh61oWmBA
撃つ,うつ,shoot,71nh8YfvEJPfBQBDDbJX
キャプテン,キャプテン,Captain,73PPg0RAultowBmHvFPQ
全て,すべて,All,74GugtNZa0pTBLQpwyAt
流れる,ながれる,"flow, be washed away",74vNTfMQzdYIOYkWNqNl
活動,かつどう,Activity,78rxt8RhLSBFja4efS2o
哀れ,あわれ,"Pitiful, pathetic, helpless",7BdzLoGg9h5W7lYKFZtg
状況,じょうきょう,"situation, state of affairs",7JTDBfmlwFS6tbmP2oDF
都会,とかい,City,7Me40OvWX5YOEJO4rnew
溜める,ためる,"Accumulate, collect",7Of5Z5LrBZqX33ZGMntO
神,かみ,God,7P2MNwgRKlc4rB1TsCzG
教科書,きょうかしょ,textbook,7R39vrOKwykkrX804hR7
天然,てんねん,"Natural, spontaneous",7SKZnJXLaj8rLBJ8Kov4
それとも,それとも,"or, or else",7T14UghvianokVzUfx2r
学者,がくしゃ,Scholar,7T9uoINc5q3OnxiJssTj
善,ぜん,"Good, Virtue",7VvxpUvpJOR4r0iwo5RW
伸ばす,のばす,"Extend, stretch, reach out",7ZJwVZ8C817L0DDHmpbQ
一致,いっち,"agreement, conformity",7bODDtlCo86a630h1CdA
余裕,よゆう,"Surplus, excess",7bpyU46f8pz7MU9rqixQ
蹴る,ける,Kick,7fxhnuHA36V3LiRr2uUz
笑い,わらい,Laughter,7gVVODoLGEPY4LMQo3Ck
次々,つぎつぎ,one after another,7kYOmQb9egljZ62Nqxz9
議会,ぎかい,Parliament,7r7mCxzB51eNyg23aQ1U
鉄道,てつどう,"railway, railroad",7vGMNrJrazYR5lo4OXax
これら,これら,These,7yomWJVz5SqSgndFuGdP
年中,ねんじゅう,"all year round, always",7zj0fNFDdtMjOt4IYI1u
奪う,うばう,"rob, deprive",80cYeWxks8xNlFFs3jab
限る,かぎる,"Restrict, limit, confine",88i2ggXGmKtl9UFjibNd
優れる,すぐれる,"surpass, outstrip, excel",8BE8OjXtd2EeYQi4ZC5m
お互い,おたがい,Each other,8CEjwNg6eALX0uU3pab9
取れる,とれる,Come off,8CQ35GW1kg6hvkIvlgGx
札,ふだ,Banknote,8J26TjcBGtSJMmNB2j6J
鉄,てつ,iron,8Kruyzvv6EJfjiAC4Wpw
銀,ぎん,Silver,8MVnfvNroYrGGqWWVF6L
代える,かえる,"Exchange, interchange, substitute",8N8XaKuqcmqhwIidKSaO
汲む,くむ,"Draw, scoop, pump",8QTk21oruTwFUP1zESnV
整理,せいり,"sorting, arrangement",8UFDvtdeK6O0AQ1jm5fa
欠ける,かける,lack,8XkYiNMrcCAbdFgyShCT
極,ごく,"Quite, very",8YI1DmwNQmwP54eYS0rh
振興,しんこう,"Promotion, encouragement",8cr0ZYwtn4xdCQFLQheg
夜,よ,Night,8fGkMwVETXiPWZFynjDv
骨,ほね,bone,8gZ8JktTwvN11xCcnSP1
裂ける,さける,"split, tear, burst",8kazkR8JxT3A7tOJnfIQ
成功,せいこう,"success, hit",8mTqXVwByK2msdSruzO6
供給,きょうきゅう,"supply, provision",8nLlCdLDrehyVbM2LQNt
けち,けち,"Stinginess, miser",8o4v8ZfMFvB1KCwxafIk
発射,はっしゃ,"Firing, shooting, discharge",8uEN6v3Bq2yFAIeue4PS
鎖,くさり,Chain,8xcfXS1ESRwZycq71MW2
もしも,もしも,If,8yHb7aywY5lngiTuAT1q
操縦,そうじゅう,"Management, control, manipulation",8z6jZZ1iPlkCgsnnEZsf
受け取る,うけとる,"Receive, get, accept",913BFIFF5svlMNGmF8JQ
責める,せめる,"blame, condemn, criticize",9141ICH3KUDSXdWIMdT2
辛い,つらい,"Spicy, Salty",91pem42u5h0sgfQnsOHL
不正,ふせい,"Injustice, unfairness",96DZCgxcADyHtYj32VkH
経る,へる,"pass, elapse, experience",96J2YEBOKEsEOlXPDBso
商品,しょうひん,"Commodity, merchandise",98GgGXG2DWNJuco3wY9I
個々,ここ,"Individual, one by one",98qI33NVgPnI5FVdMY8R
招く,まねく,Invite,99lF7qJNeVRt7BoXCWIn
代理,だいり,"Representation, proxy, deputy",9AQP8zlZTymnWfS5TjED
行き,ゆき,Going,9EDJFKQsiTMqPziuQ50H
縄,なわ,Rope,9J8mNjdja2B2ADJkyS52
ばったり,ばったり,by chance,9JUKwg37QAO4WwK7M3Ou
損,そん,"Loss, disadvantage",9LpBcwOjcZn7hNApeNBa
愛する,あいする,Love,9N7NKiPCG5jOvHFXJeZQ
必死,ひっし,"Desperation, frantic, inevitable result",9Ndx2IfAQSihAbrVFTEh
飾り,かざり,Decoration,9PSiZxEM0tAVZwR3A2dg
家具,かぐ,furniture,9Q4kCMTGBEbSRaxH3RrC
吸収,きゅうしゅう,"absorption, suction",9QA60YKp6VnXc5xzpFXm
向ける,むける,"turn towards, point",9QEKBrUkMyFATLeqoiy6
デザイン,デザイン,Design,9RRlihTMLgNI7MvcP4QK
出場,しゅつじょう,Participation,9V53mJ3yzNhVT3iiM8gL
実現,じつげん,"implementation, materialization, realization",9VSgOT2DlCh5v4rPJnei
頂上,ちょうじょう,"Summit, Peak",9Vb8jouYdID25lk5I8rV
貸し,かし,Lending,9X2AXzJdQ9lx0XXeD8uv
命令,めいれい,"Order, Command, Decree",9ZKlFKBcfvFidYabALQy
視覚,しかく,Vision,9aygnkpd4ZlZr2Eq8rTk
拡大,かくだい,"Magnification, enlargement",9e1MNCpVnt0NjY4PiIMu
温まる,あたたまる,warm oneself,9jIUTXtGPyCc7pt0OLel
燃える,もえる,Burn,9jeZp6Euts1wuGhpgY7L
生じる,しょうじる,"occur, arise, be generated",9kwD90JMmlJ7DAtD3OlJ
温暖,おんだん,Warmth,9m6AH08BjmRC6gW92R4q
協調,きょうちょう,"co-operation, conciliation, harmony",9mj6fwTOES2lp3fARXfj
チーズ,チーズ,Cheese,9pHGYQBXVVgYPfxdUvb1
スケート,スケート,Skate,9pwuBfvBIVoZX4qC7YZt
夫人,ふじん,"wife, Mrs./ˈmɪsɪz/, madam",9qb6Q70i1pwnZ2dXLpYw
片付け,かたづけ,"Tidying up, finishing",9sV4lP8wnvEZqMquLheM
手間,てま,"Time, labor",9vDJakYZDRrrNPuxl8Fl
予算,よさん,Budget,9wjZAdUhkgtHXWo7Jqpy
混じる,まじる,"to mix, to mingle",9xdfZGLA4S5ZWkhDNfko
臨む,のぞむ,"look out on, face, attend",9yBk6ohNwIB5TrcqGz5M
夫婦,ふうふ,"Married couple, husband and wife",A5IRj8VaYBO3kNQT724p
制度,せいど,"system, institution",A6NYlAmDskCg91tRk2B5
何とか,なんとか,"Somehow, anyhow, one way or another",A7CUbrRHmMhAJc4MqSnr
弾,たま,"Bullet, shot",A7eakAH1rqF226ajic6s
きちんと,きちんと,"Precisely, accurately",A8GeshdvGaJNPGRt8dq1
定期,ていき,Fixed term,A8Wm32d21vHQmw7Rn0zc
向く,むく,Face,A8kU7LBdUGlTTd2IzJV7
賞品,しょうひん,Prize,AA7FULLCEe3no7A321cV
かなり,かなり,"Considerably, fairly, quite",AAWHx0Ajg6rZijmaPLBU
袋,ふくろ,"Bag, sack",ABppsQsnAugbR4ZVirPV
座席,ざせき,Seat,ADO8Pz8ZcIKGiNtvhrQB
解く,ほどく,"unfasten, solve",AGh2usKol4MyL3La6oUc
女優,じょゆう,Actress,AJszyXompfdnnWa5NtQ9
失う,うしなう,lose,AOTZDx12cND3PlWqATBJ
得る,うる,"get, gain, win",APdTdKm6hpT6jBOaoKPQ
こんにちは,こんにちは,"Hello, good day",AQ82WE5ruNPVsLQfjz4T
近代,きんだい,Modern times,ARWVExCC0sYNtv77DaX6
高める,たかめる,"Raise, lift, boost",AT8kqK8Yqps9dK5a5Jxr
契機,けいき,"Opportunity, chance",AVUmvFFWvoCHWLGZ4otW
願い,ねがい,"Wish, desire, request",AWX46puhlqzYQXW4RNt1
たしか,たしか,"Certain, sure, if I remember correctly",AWoS5j8EB4zsWmn0IcTj
アルバム,アルバム,Album,AXL9I3y3r0xcupeMC5s6
注文,ちゅうもん,Order,AYAW36x2x3RXI5VZouQ1
迷う,まよう,"To be puzzledbiːˈpʌzəld/, to be perplexedbiːpərˈplɛkst/, to loseluːz/ one's way",AZ04CyCqq3wj1fCWjJ9C
語学,ごがく,Language study,Ab4W9Bsm0XB5LAudJyOL
容易,ようい,"Easy, simple",Ac1JcrypLWP6tRMG20E6
ビデオ,ビデオ,Video,AelMjqBOIIivbgkh1JBx
無し,なし,without,AfPyaAIgL5wyoe3I3B5n
段,だん,"Step, stair, grade",AflydVWSrPnje0g8QXOM
重大,じゅうだい,Serious or Important,AgKJ5nKvxRP7gHoctw7Y
掴む,つかむ,"Seize, catch, grasp",AhNkNexmmz76nhPefSVJ
芸術,げいじゅつ,Art,AhODFCFNbtO4syFIqgVg
名詞,めいし,Noun,AiTEByFVLLT60xwT5a6h
混雑,こんざつ,"Congestion, confusion",AqyoqBTIB6pbpUWKVyO2
経緯,けいい,"sequence of events, course",ArH1JGt8PJbm8OcqeAUd
化粧,けしょう,Make-up,As8mzCRPpbYeRf04k2L1
換える,かえる,"Exchange, interchange, substitute",AsUdubd6EovFIRZADEZM
中央,ちゅうおう,Central,AvXWJGvQBhHwc4JBHT78
