#separator:Comma
#html:false
#guid column:4
expression,reading,meaning,guid
黄金,おうごん,Gold,0SbTv8YOU7xgb5jjDeE2
猛烈,もうれつ,"Vehement, violent",0SduoZNmszc6kKIszPAh
つかの間,つかのま,Brief moment,0X0vYnSQIF2Y9PGoS0aT
武装,ぶそう,Armament,0Yvmcjhe4KbO0nG34TK7
徴収,ちょうしゅう,"collection, levy",0ZhThatkacIuWZZb0f2s
懐く,なつく,become emotionally attached,0aCI7XDiO1I95bn5vfup
正義,せいぎ,Justice,0akjfQf7eGI5e3Xvgg5C
淑やか,しとやか,Graceful,0bVNwjXXvnTeboViH9qA
目覚しい,めざましい,Remarkable,0h4y0WPpeJWlW905ztHG
折衷,せっちゅう,"Compromise, cross, blending, eclecticism",0hVsU0t3ze0aexW2YUgs
紳士,しんし,gentleman,0jM1lMnQefL7J5HBfCbf
正解,せいかい,Correct answer,0krqkWbPiFaRZz2964Kp
同調,どうちょう,"sympathy, agreement, alignment",0mTJgxuCm9TZWy2RMaW1
取り替え,とりかえ,"Exchange, swap",0oZhEj4SZFpIcMNqAtvw
～画,～かく,"Picture, Painting",0odYDW0Gteme58KYxiRV
生死,せいし,Life and death,0pe7rVzfN0AdeWJV0keV
夜更け,よふけ,Late at night,0q82jtpDsrVpqRWRharK
鍛える,きたえる,"Forge, train, discipline",0r9tM1xfBrmVKOXc0IWR
山腹,さんぷく,Mountainside,0roHiKKz4bZeFHveX76J
スプリング,スプリング,Spring,0uKxw6edWrqSATiwuPfS
器,うつわ,"Bowl, vessel, container",0vIRINR8xPlaKy9OXHaw
軽蔑,けいべつ,"scorn, disdain",0w48Wl9sOsTryi5fjsVk
レギュラー,レギュラー,Regular,0xZRUtgydKTNzaf4acuu
休める,やすめる,"rest, suspend, give relief",0z2jGz3TyvgO0L3Dafs7
残高,ざんだか,Balance,0zMfAN7WzT94i6HH5otb
助言,じょげん,"Advice, suggestion",0zWxfT6befQzkneCX1Hi
顔付き,かおつき,Facial expression,104OBdXLHSOVj1GPtjWc
ソロ,ソロ,Solo,10b3IMA0AiN1JvtyHTgf
衣装,いしょう,"Costume, Outfit",12M5anfgeWafDGv33zu6
一心,いっしん,Wholeheartedness,13YN20YiVDcQvirdGhvY
裾,すそ,"hem, cuff",13apuARx3e1cu6tYBeUI
大部,たいぶ,"Most, greater part",15vPdxSOTxfEoXcfrRbv
おろそか,おろそか,"Neglect, negligence, carelessness",178bY1QvMluvbvqoFoPt
液,えき,"liquid, fluid",1AFR0up26qahLnsvog3Y
負債,ふさい,"debt, liabilities",1DKw7rTFdwJ5gtXBnYI8
孤独,こどく,"loneliness, isolation, solitude",1Di9t4dqQYe1X4MmejKf
～症,～しょう,"-syndrome, -disease",1FRdULhYhaV6LoT5mIvX
ぐっと,ぐっと,"Firmly, fast, more",1GHWwrwqgmqKE8tQqaP2
手引,てびき,"Guidance, guide, introduction",1GSwX0nQex8YOdilAbl3
等級,とうきゅう,"Grade, Class",1HORr9L6KUrEBqxMyfpl
舗装,ほそう,Pavement,1IgDPpFw3k1boAjuxv6i
ほっぺた,ほっぺた,Cheek,1JF5zkd9Wk4Gks8EymOq
工学,こうがく,Engineering,1JksGqTm51wUtrAjD0DR
隠居,いんきょ,"Retirement, retired person",1Jy5cGAJ07WWq8WqqsMf
ファイト,ファイト,Fight,1KyDZBvwrxk1Y56xPfqW
敢えて,あえて,dare to do,1M6RBj4zNTtFYh8MqyX9
郷里,きょうり,Hometown,1NELtnQXjxoCNhZXr2iM
支持,しじ,Support,1Nc82E7n4P9OgMIef4hV
所在,しょざい,whereabouts,1QHNvhsWY1B6JCPtLW6A
民宿,みんしゅく,Guest house,1QmepTQCPHWCEDRWKBqC
教訓,きょうくん,"lesson, precept, moral instruction",1Qxboz2fX3uf6LFm1eEW
もしかして,もしかして,"Perhaps, possibly",1SoZLl4cUMeLvruhKJNA
取り寄せる,とりよせる,Order in,1U4S3mWHQn7FveO7vJL3
極楽,ごくらく,Paradise,1WRTXzdZneGvgwFk10CE
無茶苦茶,むちゃくちゃ,"Nonsensical, messy, unreasonable",1ZYHUfDTWI9rrWBFgT88
嘗める,なめる,"Lick, experience, make fun of",1a2aSpA22wna3GLCXm1R
聞き取り,ききとり,Listening comprehension,1bbIz4CpnyOEKcb4AswK
身振り,みぶり,gesture,1bpq7A2FODf88w4E36wd
滅びる,ほろびる,"perish, be ruined, be destroyed",1dwMPgalEucWmpOVlntu
見なす,みなす,"Consider as, regard as",1hf3xKv1rHzsSiMhjARw
取り扱う,とりあつかう,"Handle, deal with, treat",1iO0XwtWzXvK8ed4FELz
充実,じゅうじつ,"Fullness, perfection",1mrgmyJ5JqqZ8StOy5dk
両立,りょうりつ,"compatibility, coexistence",1nmRcNGSP1dhZat2xuKR
取り組む,とりくむ,"Tackle, engage in, come to grips with",1p5xn1th5SdfwhG19Xcx
欠乏,けつぼう,Shortage,1qBk2wTKS51Eep5SSNaf
悪化,あっか,"deterioration, worsen",1sBeC1IUYcPotcZsAExz
獲物,えもの,"Game, spoils, trophy",1slItfZ7VeZb7Ke60iFs
葬る,ほうむる,"Bury, entomb",1z2NXZ8XX8cTHiV3uqtU
先だって,せんだって,"Recently, the other day",1zgts7mg8DEmJJHLeMyW
増進,ぞうしん,"Promotion, increase, advancement",22GnTszMThBbiobFfNeK
貯蓄,ちょちく,savings,22ogv5EAwKZkpMqYyh9j
奴,やつ,"Guy, fellow",23FZAJlWIZv5MgAtUPu1
慣習,かんしゅう,Custom,23Kl017lac5mFoKRJ3XV
強制,きょうせい,"Compulsion, enforcement, obligation",25Dx8m7xy88dOSJ1W9jQ
戸締り,とじまり,Locking the doors,25QavwStAB8SaJ5RdAfM
伝達,でんたつ,transmission,26UVi7iQp973y2QUhGy6
仕掛ける,しかける,"set, lay, wage",29iUNmmE3NZ1MENEafuZ
居住,きょじゅう,residence,2C8CLSY6SDaXqOiYur0k
長編,ちょうへん,Feature-length work,2DXFulAyftG7LutSOIUc
御世辞,おせじ,"Flattery, compliment",2DohCAW8WBYRj94axJ4C
瞬き,まばたき,"blink, wink, twinkle",2Egi78sveQokKpfObM7l
汽船,きせん,steamship,2FzEH0ppWcCTvJ5N3QEJ
名付ける,なづける,Name something,2G0DSM1klWgg1NFKtlX1
仕切る,しきる,"Partition, divide, mark off",2GOLB49Lyy3QlwrBC9V9
覚え,おぼえ,"Memory, sense, experience",2H67ZAvi0KIL2RR7ldcH
利潤,りじゅん,Profit,2HOpkaXXKt49xpRRnJjl
政権,せいけん,"administration, political power",2LlanMxZeyL7cp3T9Ejx
追跡,ついせき,pursuit,2MRoFUZBGXy30SjSlvmu
飲み込む,のみこむ,swallow or understand,2MymDrGh8ItNfZKk61Lv
失脚,しっきゃく,"downfall, fall",2NA9upvJg9zoxZMfNxx1
渚,なぎさ,"Shore, beach",2NlQMeNWfPvR0TS6qhpj
ちょくちょく,ちょくちょく,"often frequently now and then, occasionally",2URUNXJuBvuaKOAL60qM
作り,つくり,"Make-up, structure, physique",2Ufu3p431bA6R2GSBbvp
寛容,かんよう,"Forbearance, tolerance, generosity, involvement",2YyRgOAvuTY16ZgK6cUy
いじる,いじる,"touch, tamper with",2bSUAzhXxMz4ao2EFgVd
退化,たいか,"degeneration, retrogression",2cGZKTrzamigrrf92Mun
ずれ,ずれ,"Gap, difference",2expdTD2s75pF4pL8x32
納まる,おさまる,Settle into; be obtained,2fZQaS6xmFR1uTEZO3V7
マーク,マーク,Mark,2g4rv1MncRFEKP1ZKfCW
調和,ちょうわ,Harmony,2i0TxHgG7poRGsZWYoOM
水源,すいげん,Source of a river,2ilWsWcfKBVdDsOWnKdN
手法,しゅほう,Technique,2kblBgz17LiiXisNDMOj
先代,せんだい,Predecessor,2mjCsbwZde34MuN0a5hi
時折,ときおり,Sometimes,2oQbFw6OJJHo6wi4lSO1
過密,かみつ,overcrowded,2q9BQyW5PkJr57ExQqj7
中立,ちゅうりつ,neutrality,2sSwYUVpVYeQexf29BlC
分母,ぶんぼ,denominator,2t4tHQg68Ad3R3GA7Awd
箇条書,かじょうがき,Itemization,2tChne6Co1hf9xUChgsL
取り立てる,とりたてる,"Collect, extort",2tF1lQ2E6v4TX5CGwBqB
角,つの,corner,2tXoEd6Kd0RQgcFYw33T
きっかり,きっかり,"exactly, precisely",2uKFReBgMA3Y6u34c1lc
公募,こうぼ,"public offering, open call",2xPsVl5OgyPevXo3qIYb
分子,ぶんし,"numerator, molecule",2xmfMDS0XEZoEgytwpIz
不当,ふとう,"Injustice, impropriety, unfair",32TKzDUWe16e7OhyUp4X
蹴飛ばす,けとばす,Kick away,32bDXa6mjkEg00Y7xflQ
権限,けんげん,Authority,32c5KNz3TQ8MPnB4rQoo
据え付ける,すえつける,"install, equip, mount",33tpCFIRN98eD38PcY3q
清濁,せいだく,Purity and impurity,35XuMHRH74ROXMzhxlpd
浮力,ふりょく,Buoyancy,36NtaqR92EW4YWHOHw91
ソックス,ソックス,Socks,37l7sUaEa5wjU35Qbf70
一概に,いちがいに,"Unconditionally, necessarily",38J1NtpNKWY7vNsfrA6n
即座に,そくざに,"Immediately, right away",38bIfkX9cx1NHXwoH2up
事前,じぜん,Prior beforehand in advance,38oWASRGmJ96chhZCblW
守備,しゅび,defense,3AjV5VIpOsJmbWmSlrL6
抽選,ちゅうせん,"Lottery, raffle, drawing (of lots)",3DU7ovmDqTQ5YfRRKtx9
中枢,ちゅうすう,"center, mainstay, nucleus",3EoEpqIssjoV0f89tNyp
先,せん,"Future, recent, previous",3GRIijXmjBZnN8Y7xjoB
事柄,ことがら,"matter, thing, circumstance",3HVxaFJ6iQtC0wPtDTNW
河川,かせん,Rivers,3HuRpaWygLqw1m2irBUu
割込む,わりこむ,"cut in, disturb",3JjF4XpAVszPt0JDJCfH
転ずる,てんずる,turn or shift,3KIgd0I7CwlagZB4EC1X
過疎,かそ,Depopulation,3KSxj3YH0Q24J2mNpCKq
連中,れんちゅう,Those folks,3MuT3G69lwcd4CfDuDmi
突く,つつく,"Thrust, strike, poke",3N72AEo5DzvwJe18nis1
実業家,じつぎょうか,"Industrialist, businessman",3OVwVGAn6CWdygLkKkIA
人気,ひとけ,Popularity,3Q6C8YcJwc6kOP8lLLMK
適応,てきおう,"Adaptation, accommodation, conformity",3QovopLM6J8hRtFHKPVo
寒気,さむけ,"Chill, shiver",3R5w1hlsEJO7UyAu4Oxc
真実,しんじつ,"truth, reality",3TAH8RKPRHtE0e3UHoY6
要因,よういん,"Primary factor, main cause",3ZGSHB81TzTDvPuXxYLK
執着,しゅうちゃく,"attachment, adhesion, tenacity",3baB0hjQdBHAvc91xJed
召す,めす,"Call, send for, put on",3cfg4orHDGIBKEH0xuGA
簡潔,かんけつ,"Brevity, Conciseness",3dVopQEF44vx5W88BY7N
インテリ,インテリ,"Intelligentsia, egghead",3fPsuh4aMARqVAA50o9R
物資,ぶっし,"goods, materials",3gSglp5KVFHREdGl1nNQ
かさむ,かさむ,"Pile up, increase",3giaa0x5Qs7zQdaJmymn
呼び止める,よびとめる,Flag down,3j10UuZDPTWSMaOmg4la
ベスト,ベスト,best; vest,3kc4KSuub84EO1f49rbu
街道,かいどう,Highway,3lXm7Rdgzy8pziQqHsrJ
もてなす,もてなす,"entertain, make welcome",3lnscorT7Sq7ddIq6s2W
軍備,ぐんび,Armaments,3lquMdYfwufdmd5CN4wH
きしむ,きしむ,"Creak, jar, grate",3mX2r4jf0mVYQjAq5Ymu
オンライン,オンライン,Online,3n59d4wSbIYYmfc2RGeW
領土,りょうど,Territory,3oR0DwI6F82rr12X83Td
内閣,ないかく,Cabinet,3qcThbRNzElMjEDtzZZy
唾,つば,Saliva,3qpkeefES1dBTAr7srL3
ぼつぼつ,ぼつぼつ,"Gradually, here and there, spots",3rOMIOhahuW8w17fbVxw
ずぶぬれ,ずぶぬれ,"Drenched, soaked to the skin",3rjOnAZjBIuVdsRUjpnm
鈍る,にぶる,"become less capable, grow dull, become blunt, weaken",3s08rehCVznzIPMj9W4p
不審,ふしん,"Suspicious, doubt, infidelity",3tBs2HHGKXSayG7rYREX
描写,びょうしゃ,"Depiction, description, portrayal",3uTINpTqLls4ta4s2zHJ
真下,ました,Directly below,3uWtVxkbxFgGb3XwCzL6
火花,ひばな,spark,3uyY2fHqDR5mckSrelCk
励ます,はげます,"encourage, cheer, raise (the voice)",3wZde6rd3uZ1aZpk7QKP
屋敷,やしき,Mansion,3yY846OE6i9H55KewoiC
優先,ゆうせん,Priority,3ytH7u9fH9m84P7wFYTr
暗示,あんじ,"hint, suggestion",3zoxcj0hye6MKIwP3oKN
見計らう,みはからう,Choose at one's own discretion,43l3NVy8gYM4B2cakCQE
運輸,うんゆ,Transportation,45MZdNjRByYIyek1vOVQ
小柄,こがら,"small, diminutive",48p97Xl5rfZmjHsqpaP5
並列,へいれつ,Parallel,4A9Y2jAfTaHLTY6GJ4To
窒息,ちっそく,suffocation,4BFNt9vhY25RTtRH21TK
よって (よりどころ),よって (よりどころ),"Therefore, consequently",4Co2Ly5VOxeojuH0twDt
見晴らし,みはらし,View,4Ctb6BVmC1dkFDQt6nVz
現像,げんぞう,developing,4Dyz9BW3RfSZALYUQmtA
獣,けもの,"beast, brute",4FbzecNa9AEUQ8iTLF7w
漂う,ただよう,"drift about, float, hang in air",4G8Z3HnzWEaDF96DYC7t
荷造り,にづくり,Packing,4GX9dmb7pWq2zDhX5IVy
デコレーション,デコレーション,Decoration,4HJje1c4fvInTjtcrs80
方策,ほうさく,"policy, plan",4HmFIZ1P6NHQrOkDH9S2
憧れ,あこがれ,"Yearning, longing, aspiration",4JmeDQd9QwhUhO49nhJj
事業,じぎょう,"Project, enterprise, business",4Kqq4sv0MsCxPCZFlng1
老いる,おいる,"to age, to grow old",4LWFhMuazuVizwSeiDdE
カメラマン,カメラマン,Cameraman,4Mo7uJUKrUBr4w1HSdM9
語彙,ごい,Vocabulary,4NQ1F0q7jgvcnVuXmLLk
余程,よほど,"Quite, very, much",4Or2PgraOrDgbjn7DKC0
決,けつ,"Decision, vote",4Orp4d6G29kHNZwDFLWU
態勢,たいせい,"attitude, conditions, tendency",4P7CkQbo3bIbFaWC4pI3
まさしく,まさしく,"Surely, no doubt, evidently",4R4V3bm3xsMXxq3laE25
軍艦,ぐんかん,Warship,4RsHV1KYSpWfVsZnf52T
はかない,はかない,"ephemeral, short-lived, momentary",4S6OcKqvLP1CwhKomlsG
時刻表,じこくひょう,Timetable,4T1FB70KKy5DHOFp0sLY
転換,てんかん,"Conversion, Diversion",4T74DzT2fZF378iar5hQ
与党,よとう,Ruling party,4WNQYW9pyVs9PqiUmbvs
準急,じゅんきゅう,Semi Express,4XGYlpwacmOVvUVYB4uQ
映写,えいしゃ,Projection,4ZYYoU4kctcS81qKy9vo
対決,たいけつ,"Confrontation, Showdown",4ZcoApMNpF0ggW4aBmZm
漢語,かんご,Sino-Japanese word,4Zow4VfD4OMAxH7jinwv
ブル,ブル,Bull,4a6JhlnBvYAOOjwXUKv3
出くわす,でくわす,"come across, happen to meet",4cB42elB43HuIVtv08xz
海運,かいうん,Marine transportation,4eLRtj2WzcSKkGAhZi2O
議題,ぎだい,"Agenda, topic of discussion",4eXq7OQvbpbpqXSP7lZ2
構える,かまえる,Set up,4iC8Afq06VpZKJ6ekfuH
ゲスト,ゲスト,Guest,4iPC7Weoj1sCt3I8RvRs
保温,ほおん,Heat retention,4jJ9PMKKuNYZon0PUbFD
トラブル,トラブル,Trouble,4jv7O9jFmUWCQZMzn10V
成熟,せいじゅく,"Maturity, ripeness",4kJ5M0Cfo1L9JgRCjE3s
吟味,ぎんみ,Careful examination,4kfRATcuAWNWsk03PiWx
ひび (かべの～),ひび (かべの～),Crack,4lR0pndV7rYKNQVzLsyG
善良,ぜんりょう,"Goodness, excellence, virtue",4orXAi1pqeJSvzxJ56lv
仕上げる,しあげる,"Finish up, complete",4u0p5WmYojwZqtbzBv8o
感染,かんせん,"Infection, contagion",4wQccPskOCee09dLHKzD
灌漑,かんがい,Irrigation,4yZGm4tGciLbfOlkthWC
違える,ちがえる,Change,4yZaGGrNqC6mWuy2HBmq
敗戦,はいせん,Defeat in war,4zP3tFfwAqVOlFnJrLmu
開催,かいさい,Holding an exhibition,4zYB8C3k8skumJM54GT5
打撃,だげき,"blow, damage; batting",52zqzQFikBsqFIDLoPhf
謝絶,しゃぜつ,Refusal,531V2s3GNnmNJdRGMy45
利点,りてん,Advantage,58Zh0tOb8Rq3IKhOiUHl
階級,かいきゅう,"Class, Rank, Grade",5BwijCUESBrD3ca0KAK6
非難,ひなん,"Blame, attack, criticism",5CwXUXVH0M5cC1azJwqs
扱い,あつかい,"Treatment, service",5EXF5ozOSmj217yOfN5y
布巾,ふきん,Dish cloth,5FDe645ysVWmBSkDkh63
還元,かんげん,"Reduction, resolution, return",5FvKPXWoDQYiHMXdbEUZ
心掛け,こころがけ,"Readiness, intention, aim",5GhqbcJchoDKgUj9B56p
大家,たいか,Landlord,5GiJgkPVxMRz6DvVPfxP
美術,びじゅつ,Fine arts,5H0Ym1YJEN1vmv05Atcx
念,ねん,"Sense, feeling, desire",5IKw8ABtB757LWkZAUmh
躾,しつけ,"Discipline, training",5KYv4zMuJ7TslvidmUZd
家出,いえで,Running away from home,5Mvn9aWgqH7B489go0oe
統制,とうせい,"Control, regulation",5NuAXkk65ilMmj7AnENX
～割,～わり,-percent,5OKG464MrLaIEwrq8PqT
在庫,ざいこ,Stock,5OSYzv4Lq9FUfcDsuAhq
バッジ,バッジ,Badge,5OXOJt3XYBj6WfplZBR9
密度,みつど,density,5SLQvtKFf01SyMzg33JL
貝殻,かいがら,Seashell,5TWUvdFawHfgHzZNblVW
振り出し,ふりだし,"Starting point, outset",5VJL39apkhC7d4FQjrKT
妨害,ぼうがい,"obstruction, interference, disturbance",5X9GFQOKWZYhbAYanpBF
境遇,きょうぐう,"circumstances, environment",5XMnLV0rdQmVZb1GCUlW
群集,ぐんしゅう,crowd,5aLC643qBrvccvXIYDro
今更,いまさら,At this late hour,5bvuSLYTkj4pLFnwWPG7
了承,りょうしょう,"Acknowledgment, understanding",5c1jaZEOcpMrS0lYeVH4
反応,はんのう,"Reaction, response",5du0U2HAXsncY0aNEHKZ
きっぱり,きっぱり,"clearly, plainly, distinctly",5ewwtKTcZ1X7OAQC9Rof
無難,ぶなん,Safe,5ge0HwKO91XFAC6SSQoe
ニュアンス,ニュアンス,nuance,5h8J7mbG3kNcvrpmkK2q
特派,とくは,Special dispatch,5iD5gXdWEQ6yc5THgcKN
下調べ,したしらべ,preliminary investigation,5ixnOYo5KjWJMqT1wyIN
滅ぼす,ほろぼす,"Destroy, overthrow, ruin",5kI6RFalE3k4FR7kg3ou
すくう (みずを～),すくう (みずを～),Scoop (water),5m9OLFA5NajxwUZVNCnq
危害,きがい,"Harm, injury, danger",5oQqhAOuww1lDhxcx4q9
薄弱,はくじゃく,"Feebleness, weakness, weak",5ow6zPjWYrcVf5QpRxTe
病む,やむ,"fall ill, be ill",5oxsfUmIqJfGa9VoFHrO
～宗,～しゅう,sect,5q8pteknJHmd0YjvATny
よし (かん),よし (かん),All right!,5qYH3FIOLZ3Ew4aueFhk
詰る,なじる,"Rebuke, scold, tell off.",5qf3Bet2meEMImFu2h0G
抑制,よくせい,"Suppression, restraint, control",5rYcrawRNiXzUYwKpczf
世帯,せたい,household,5s5JRRsrezRwyaOh0I23
適宜,てきぎ,Appropriate as needed,5sP4uLjyWrjbgvYCm5Bz
絶版,ぜっぱん,out of print,5slltISyCwSjvC3jG1Qn
身の上,みのうえ,"personal history, one's welfare",5v3Me2H2rojg4jqqc7bt
インターナショナル,インターナショナル,International,5vAhp8tPPGTMuwOrpgmF
ぺこぺこ,ぺこぺこ,"fawn, be very hungry",5wSmzvKZXSGHST0i3wkX
鉄棒,てつぼう,"Iron rod, crowbar, horizontal bar",5xwiDxKcTkj0Nx1c9U6C
一連,いちれん,"A series, a chain",60BmORwotkNjUNlhR1Ci
なんだかんだ,なんだかんだ,something or other,60pO1scaW3cJqDlR14PT
ニュー,ニュー,New,63lUAOpNbX0bDoGt85ti
軍服,ぐんぷく,Military uniform,657LhvI0fNPVhj7Hr3Xx
円満,えんまん,"Harmony, peace, smoothness",65y5cYVA8jh6xwTErqtR
空腹,くうふく,Hunger,66V2NkgWOuKls0EcZIZZ
悪しからず,あしからず,"I am sorry, please understand.",67CkZ1yQqQWDU18n0U8G
及び,および,"and, as well as",69tJFcQv2VtLoCWZ6Yyj
担う,になう,"Bear (burden), shoulder",6Bxed2BOt92H3o2jzLCk
制する,せいする,"control, command",6CALHgPoC43KigJbBFdx
着手,ちゃくしゅ,"embarkation, launch",6CqcmhmTI5KyWZ4yL6DU
感度,かんど,"Sensitivity, Severity",6D9ZvDAvHgi2VMFh6VYp
募る,つのる,"Solicit, invite",6FSACnslrZ9zUq5ddYzw
樹立,じゅりつ,"Establish, Create",6FuLZFmdeSBGCZXYs7PN
繁栄,はんえい,prosperity,6GvQTZpYhL326j30x7kP
秘書,ひしょ,Secretary,6If6doaqY0SBCAf5Jxq2
危機,きき,Crisis,6M9R8EkXVTsJMDjgSxi8
補足,ほそく,Supplement,6MzbfDKWrLsL3dFum46U
崇拝,すうはい,"worship, adoration",6Nd6Qiba4jtD61yHXYEp
タイミング,タイミング,Timing,6Q4p1xTTiHlmE3PJiP8G
控除,こうじょ,deduction,6QGjOjGkXgji5E4vnz5G
迫害,はくがい,Persecution,6QHNZe2JZQtrU0NUaSU1
値する,あたいする,"Deserve, be worth",6RugpscDqauLIeqfO8EX
取り巻く,とりまく,"surround, circle, enclose",6VgmT5O4Wc2DvIfgrQtG
慣れ,なれ,"Habituation, experience",6YXPTjHNhfcvPc94SHeR
繕う,つくろう,"Mend, repair",6ZhguQGN2iUJtvhinvjD
法廷,ほうてい,Courtroom,6a43juKp7JxENSi6GwXC
理屈,りくつ,"theory, reason",6b0zWjahrjXnTZQB677G
真相,しんそう,"Truth, real situation",6bdttFkZHuT0r7pqwrBL
破棄,はき,"Revocation, annulment, breaking",6bomQvxs0PVItba9zjcy
捕鯨,ほげい,Whaling,6dXbqbOvpbRXZsSmpN5o
雑木,ぞうき,Miscellaneous trees,6e4q2UwVrmKJUViZgJpo
幹線,かんせん,"Main line, trunk line",6fae1bAtxGdVgVep9czy
試み,こころみ,"Trial, experiment",6gOaSMaL39qGc3q5z7Wq
大胆,だいたん,"bold, daring, audacious",6iHmIViV31K3cX4owYLX
前提,ぜんてい,"Preamble, premise, prerequisite",6iqfYhQkt3Po00EMLvol
主催,しゅさい,"Host, sponsorship",6jz5wHUqiZwEkAWRnpGI
好意,こうい,"Good will, favor, courtesy",6sUk4VrNpcd9FqWcuZSu
バー,バー,Bar,6trGz4f9AgBOrB0EBIC2
執着,しゅうじゃく,"Attachment, adhesion, tenacity",6yZ6BDh54okgXmLmVqQZ
セックス,セックス,Sex,6yf1eiAt1GaK38xS66lY
一括,いっかつ,Batch processing,6zV7jZbFwfYMm2tKQCbv
乗っ取る,のっとる,"Capture, occupy, take over",6zVtlLFVjjCFrDsbedm1
何だか,なんだか,"Somewhat, a little",73aa89SOlZAB0crYEgBF
取材,しゅざい,"coverage, data collection",74BrY46soQmtPkSn8gMM
収益,しゅうえき,"earnings, proceeds, returns",74PVX2T4EuTivQtEpSKe
訴え,うったえ,"Lawsuit, complaint",76WQpdNss9N0cZ92HO3u
届,とどけ,"Report, Notification, Registration",77Cw6M1sN4q696oXUGzT
妬む,ねたむ,envy,79Z6AUnPKkdvk7dzduyT
報道,ほうどう,"coverage, report",7Ao6r5dw0hjmHtNqs1Z7
気立て,きだて,"Good-natured, kind-hearted",7DmLTbOKyet8a24ioVWF
遂げる,とげる,"Accomplish, achieve, carry out",7DuamDXdqq7sP9li7ex7
くすぐったい,くすぐったい,Ticklish,7EiglzL7IU9Pnl5Irnvc
諸君,しょくん,"Gentlemen, Ladies!",7MSiapGDYLCrosFUpuIg
普遍,ふへん,Universality,7NytPwZUp47zGojkrLle
片言,かたこと,broken language,7P6dtoLkifGJlcfWg7yL
転勤,てんきん,Job transfer,7PKpC1mppRVcHvzHmtWQ
ありふれる,ありふれる,"Common, ordinary, routine",7R8jDeaSrh53kx7KXbya
授ける,さずける,"Grant, award, teach",7RTsebDtRAoHDUfmRnxG
公立,こうりつ,Public institution,7RnwBCcsCCpUkEvKaa4N
シナリオ,シナリオ,Scenario,7ThqCHCryqTcM4oiXVJH
出産,しゅっさん,childbirth,7Uans5tuQ8KB11SfsY8h
丸々,まるまる,completely,7XoinSnmxmcIm8wbwwqR
確保,かくほ,"secure, guarantee, insure",7aB3dBeBExe8dWk8OiAL
看護,かんご,nursing,7bYwNaswgLeQlbzxAbFv
主題,しゅだい,"Subject, theme, motif",7drX0iZtXVJqEK7ovjhn
変遷,へんせん,"transition, change, vicissitudes",7eDiEpfuuR5G4SA1wypl
切れ目,きれめ,"Break, pause, gap",7eSupwjI3zGVxNY6E8iT
空しい,むなしい,"vacant, futile, vain",7gZcKb3f0pumDIsZojxI
政策,せいさく,policy,7hcEMgcqEOSzp44blSNh
もはや,もはや,already,7iFpVFvkGUgRspiVZLN5
無礼,ぶれい,"Impolite, rude",7jwWNRC3Qv0lI3vNYih0
詳細,しょうさい,"Detail, Particulars",7l5Mjl1LxrFVqISThclu
首脳,しゅのう,Leader,7lm2U1kH2IQNeBek5zCh
屎尿,しにょう,Human waste,7mAm0glFyoT3qUtDewJD
上陸,じょうりく,"landing, disembarkation",7pf00N7hcbBKhPniR6QV
レディー,レディー,Lady,7r6AyyAwU97B1FpjAsD8
恋する,こいする,Fall in love with,7t165akgn7VK0I5JAjsp
戦災,せんさい,War damage,7vqhqT1XJe5VZunu231R
