#separator:Comma
#html:false
#guid column:4
expression,reading,meaning,guid
アフリカ,アフリカ,Africa,5VybPPVX2hhGcmkHT0Uv
今夜,こんや,Tonight,5XbHzK5pPZGZS3g56HzL
米,こめ,Uncooked rice,5YtRrBWW7EtFYL0SaVwx
～にくい,～にくい,difficult to do,5Zi3oi81zEGp06Ca0QRZ
ハンバーグ,ハンバーグ,Hamburger steak,5aBmT0kZcC7yS7DD5ytz
特別,とくべつ,special,5xyM6HSRuKRDT3Nw91Ec
床屋,とこや,Barber shop,62bbjczBQoyDmFN1VnUK
～区,～く,"Ward, district",688f4XNOFJwV6FsmGEmX
アルバイト,アルバイト,Part-time job,6Ei9ESB9rRdLG7SzinxT
駐車場,ちゅうしゃじょう,Parking lot,6OgI8xUte2l0ImgoCyR1
一度,いちど,Once,6Qr4wSzSfcZyumAqh4JD
直る,なおる,be fixed,6YToqxqXNZHS3cAK9y3c
僕,ぼく,I,6YgioaQ7DRP01GHYK1X3
案内,あんないする,"Guidance, information",6fx3yZblAstOUaosreNv
ジャム,ジャム,Jam,6o0EDap7wQzDq7kCoQEQ
カーテン,カーテン,Curtain,6rrOo20KJ01L5FFMblk6
下りる,おりる,"get down, go down, come down",75JiWKMzH6mUZMlDiT7J
最近,さいきん,"Recently, nowadays, in recent years, most recent, latest",79fVOs1zNFGTWUvdeOAB
布団,ふとん,Futon,7AGJIcEGAzvOncIq599h
社長,しゃちょう,President of a company,7PsT6QmzRI5idcmN98OA
ご主人,ごしゅじん,Husband,7XmJ4v6cwLkaqwAJjJkB
指,ゆび,finger,7f2pXP6Q2n4tfwUzZRBl
オーバー,オーバー,"Overcoat; over, exceeding, exaggeration",7n4hSWYQI7nZefn0x79U
美術館,びじゅつかん,Art museum,84BwwOfSHwSVZBU8cLqV
格好,かっこう,"Appearance, manner, shape, form, posture",886UJ8vcagV3oVjZDuCF
差し上げる,さしあげる,Give,8BeA1QjLPSdW6BXos65a
捨てる,すてる,"throw away, dump, discard",8BifQnk2d2WaiVXivVXt
研究室,けんきゅうしつ,"Laboratory, Research office",8EDAId3Pd3yuk2pJ3TJF
すっかり,すっかり,completely,8EWtgLnpkjo3rKjFJRpC
十分,じゅうぶん,Enough,8HFHdhF0kIas3vplvQFC
知らせる,しらせる,notify,8JK8BAcq54HGOpEi4nrG
匂い,におい,"Odor, smell",8WEk8I1cdz7w7ztzVO5p
思い出す,おもいだす,"Recall, remember",9N4Odpg7djWLleMKcwc4
～目,～め,"-th (or -nd, -rd, -st)",9Y1cpfeVnpzy9HRX462d
そろそろ,そろそろ,"soon, gradually",9euMfpg4q5RaZt4zaYnk
怒る,おこる,get angry; scold angrily,9fSKzivsTBNcw7Hl2iRd
説明,せつめい,Explanation,9i6lqQ8wqYFEEqvh8aJB
事,こと,"thing, matter, fact",9oZ05eXP8kdrz2JYdz4l
ほとんど,ほとんど,"mostly, almost",9qsTf0T0tZkz3IX057wB
砂,すな,Sand,9ww0mYsMS2CVaeQKC8Af
くれる,くれる,"give, do for",9x0S4OToCAfUilIHlC0S
反対,はんたい,"Oppose, opposition, resistance",A0I93p7PPobzYZtudq0z
通る,とおる,"Pass (by), go through",AKXcky6L6mTLUtkxHIxQ
子,こ,Child,AMkkEMkuyJhC2mPsbNzZ
品物,しなもの,Goods,AOn8RacHX7AuTmuYtLnB
値段,ねだん,Price,AR9LqCZnGiRGN1leyvHl
うん,うん,"Yeah, all right",Akf9weIcLpJDqBa8PYo7
～(て) しまう,～(て) しまう,end up ~[/~/,AtzJuf6dgB2pU9eR8iTY
素晴らしい,すばらしい,"Wonderful, terrific",Au7L5oT4GjilAjS3GW4b
残念,ざんねん,Regrettable,AubmMNQtosvE5I0nEg5s
～軒,～けん,counter for houses,B6z7IkyizDHYAPLbhms5
褒める,ほめる,Praise,BAPd39Jcqnnq8ELtBs3R
政治,せいじ,Politics,BG1gxFKDXcs6gmuhqZfk
彼,かれ,"He, boyfriend",BGPoRWywEuGlSqxVRyff
別,べつ,"Distinction, different",BMyQfn5b0pHsIPS3SAm0
片付ける,かたづける,"tidy up, put away",BT9ssTqW6EqsHmtI2ss6
眠い,ねむい,Sleepy,BXxJlPeCRmTOnNUcrkHG
押し入れ,おしいれ,Closet,BYmMjpat8znTLmbgazBZ
迎える,むかえる,"welcome, meet, greet",BfSpLMTr09T0gNRxjZSQ
店員,てんいん,clerk; shop],BkMJ4kpgZL88UXtAc4q4
周り,まわり,surroundings,BkdtTfMNBtqhsQDi4WPA
人形,にんぎょう,"doll, figure",BtaD7MR2I0jdUleMNBHV
失敗,しっぱい,"failure, mistake",BzvMctzohv9EKWAVnXZQ
冷房,れいぼう,Air conditioning,C1NA1dUPfMWU81gMFYZJ
そう,そう,"So, right",C4hszeLLQCN4ILqBXwPQ
いらっしゃる,いらっしゃる,"to come, go, or be",CTXkwFk8v43gKD68MOIW
ワープロ,ワープロ,Word processor,CYygQoINWZE5KgPpgr8K
興味,きょうみ,interest,CeD9ikaWTUI2lT37ZqIE
空港,くうこう,airport,CiqE3d0flSenV1y5zMen
火,ひ,Fire,CmjytVqmFWYfkc6AhCiV
やっと,やっと,Finally,CnUiOKIG0QBSv5Hjxhwg
きっと,きっと,"Surely, definitely, undoubtedly, certainly",CsCMSYRiVjUU7PS8S3lg
間違える,まちがえる,make a mistake,CsQjoUStYAT4G91KTdQ2
堅; 硬; 固い,かたい,"Solid, hard, firm",CtqzfO7KTJNzWrkOgxoc
なるほど,なるほど,I see; I now understand,CuQD8hIEtLVdZu24BgWR
サンダル,サンダル,Sandal,Cud6B8ESAoPBj8JLM6oT
小説,しょうせつ,Novel,D5KjAuzIHJRxj2JhmGIy
～始める,～はじめる,start to do ~,DDXraOaUrWiSeIJIKoup
倒れる,たおれる,"collapse, break down",DGiMwAPzG0lz5ZiFJwhd
～だす,～だす,start to do,DIXo2WzwLEbR0WgahtT2
お嬢さん,おじょうさん,Daughter,DNJWzLEoRuCXkj4yDVHk
どんどん,どんどん,"rapidly, steadily",DTlCpvNjetv1D4OM2p7e
急行,きゅうこう,Express train,DXdLLSCAi0CHX87LEw1e
あんな,あんな,"such, like that",DcCahouAr1nLwxk69hWf
中々,なかなか,"Quite, considerably",Dlb9jyiQJdGjAmcPCMHA
おる,おる,"to be, to exist",E8xRSXj6NtG0m2klk6sC
将来,しょうらい,Future,ECIdcwARbqq8DdppmvoW
打つ,ぶつ,"Hit, strike",EDvhJf5mIHhLHPTePAR6
回る、回す,まわる、まわす,"Go around, revolve; spin, turn",EFqwXMOKo7hRfWCnHa1u
以内,いない,within,EHW2mKc6u0NGt5g9ymhC
寄る,よる,stop by,EM0BP0gPEq97Eg798XjQ
久しぶり,ひさしぶり,Long time no see,EQTFJhNh2B95Zh23VIkE
くださる,くださる,"Give, confer",EU5TvsdKTLFY5S6Iiff1
関係,かんけい,"relationship, connection",EYChYAf6sHiZZbd1FCFK
嘘,うそ,Lie,EcuV1VM4OJlG1LqnPQ8f
赤ん坊,あかんぼう,Baby,EnNR4U0sOru6jKdiM3vW
比べる,くらべる,compare,F8nKwZBlf2BlwsRNSxQe
入学,にゅうがくする,Enrollment,F9PQqzPZCQaFSkGhcNyI
騒ぐ,さわぐ,"Make noise, clamor",FMGyqat9haoNyFrYplld
ごみ,ごみ,"trash, garbage",FQhNkKzYDyjDkivNBD81
丁寧,ていねい,"Polite, courteous, careful",FRu3DEBmCuqahNXv3CfH
滑る,すべる,"Slide, slip",FYQr044J03J7jZhYqRTc
頑張る,がんばる,Do one's best,FcLrP9XAZDPhpVqQFKPB
なるべく,なるべく,As much as possible,Fd4owXPDKQbsQ5jW4hrm
コンサート,コンサート,Concert,Fg0yljf7KR11isV1A0Mm
工業,こうぎょう,Industry,Fm8GZb6gW2tlvv3wERJg
選ぶ,えらぶ,"choose, select",FvAGBqsvvr9DKF5qi6Hn
折れる,おれる,"to break, to be folded, to give in; to turn (a corner)",FwjWdvHW1Bi0TOI9sikz
試験,しけん,Exam,Fyx6OKpwzWpE7Yy9oXrO
全然,ぜんぜん,not at all,FzjaHQ7dvaJZsPwnuL7s
虫,むし,Insect,G0KKi3wEfbNQulx7KYhx
踏む,ふむ,step on,G4M3vVaefssPkEzxerwx
医学,いがく,medical science,G4agBDwscGvrWbg2GWks
裏,うら,"Reverse side, back",G4bQ8QIS3sgRxuM72LyD
けれど; けれども,けれど; けれども,"but, although",G4cAZFxjFB3iFQmNtNlG
嬉しい,うれしい,Happy,G5bjT6Ghdr6Uf3hDYeCI
うかがう,うかがう,ask,GHP8vl1w7XXx4goR3nBN
変える,かえる,"change, alter, vary",GJQsKZy70aExSQRZfIyj
人口,じんこう,population,GQD9Whqj64NMKU8uoDzV
尋ねる,たずねる,inquire,GT0QhQiwMuTrnKpiVouv
教育,きょういく,Education,GfUBB5dHUjFk6njFi3w8
終わり,おわり,End,GlT7FjPm6oK8j2wpjbcV
お金持ち,かねもち; おかねもち,Rich person,Gpc3swGvYtAJ0w2BhNEW
これから,これから,From now on,GtWjRGDBCDBdUDA1WKRQ
あ,あ,Ah,GwVhE7tnGjsIPdzhMCNJ
校長,こうちょう,Principal,H11Xwdi0JoXqpwM3zcrW
～学部,～がくぶ,Department of ,HBFEXQqR808ssxGGqeOq
会議室,かいぎしつ,Conference room,HHk3I7asMYJA0o3yBFPj
連絡,れんらく,"Communication, Contact, Connection",HK2gEaKbZyTGcsTH1rVh
ガス,ガス,Gas,HN755tLXrthfoqe71Pi7
地震,じしん,earthquake,HQIhLyWb0D8qBA9n2mC9
触る,さわる,Touch,HZEvrNc1sck2Sjca3nty
復習,ふくしゅう,Review,Hbd3LN3NRbMviFMZhZJW
代わり,かわり,"Substitute, replacement",HgqKR0mObqDMJKsQ9CGt
～代,～だい,"-aged, -s",Hjvpx4RG3bf3cKuALltF
食事,しょくじする,Meal,Hl37beuo7hW3rH5L3tHC
深い,ふかい,"deep, profound",HmDc5k6Lq7tgB4X55ZcJ
光,ひかり,Light,Ht2rA6nd7YYZC7m8czEF
途中,とちゅう,On the way,HxVgX23SqUOs7mwiHrw7
～様,～さま,"Mr.ˈmɪstər, Mrs.ˈmɪsɪz, Ms.mɪz",I9j7il8U5zBPjueSbNiO
もし,もし,If,IC01GyWIvsia9CGMa2vT
皆,みな,Everyone,ICfQ7FPq9YCQURENp7SS
中学校,ちゅうがっこう,Junior high school pupil,IHVfThm3lW0jd007oG37
大学生,だいがくせい,University student,IQn2uwYmgKoXC3qdJ06f
集める,あつめる,"collect, gather, assemble",ISgzrpxWlJW5VLMFuwcX
利用,りよう,"Use, utilization",IUIsPDG3yjfTXAMFrEHM
訪ねる,たずねる,visit,IVMl3ehvfzNmTpXIDv1n
スクリーン,スクリーン,Screen,IeG8Uhv3QVOJJzJLp1al
致す,いたす,to do,IexXPf2Gx7GipSCbHgNM
再来週,さらいしゅう,The week after next,J5muxfsUW8ReOSbTnAx2
公務員,こうむいん,Civil servant,JUg9fJJCIJJ5xgAH7FKn
それで,それで,"And, thereupon, because of that",JXOM3Ch4mkq7u8UMnVlH
複雑,ふくざつ,"Complexity, complication",JaPKjQIWgBWjpDirP6ue
高校; 高等学校,こうこう; こうとうがっこう,High school; Senior high school,Jg2rGbbL07rp8TwAPREn
規則,きそく,"rule, regulation",JmQAgajtqFTDiiii2Ydz
気分,きぶん,"Feeling, mood",Jo4Co47h5KuFHUdrPxiw
間,ま,"Space, interval",Jv3YD7rlj94PPScvbuqE
始める,はじめる,"start, begin",K45y5X8z5G3kr8ORX7nx
遅れる,おくれる,be late,KBOFyZDzlvV7KT5QvWOZ
手袋,てぶくろ,Glove,KDsIdDYD20baDtf4V8rM
柔道,じゅうどう,Judo,KH1JHpWRiUslPMAHEPdj
止める,とどめる,Stop,KLDwQnMZIcunrdXPed9z
移る,うつる,"Move, transfer, shift",KREeik0aQ2vPokgWBQv5
工場,こうば,factory,KToF9K2wIWtRwmDxbxc8
為,ため,For the sake of,KaPo6O3QLg6pXJmoahDN
下宿,げしゅく,Boarding house,KgakeonGYpJhEI8heabJ
訳,やく,"Reason, explanation",KhQ4e8R98wsVK35mUP70
または,または,"or, otherwise",Kmzcniqs2b8R5J7Axb9L
アルコール,アルコール,Alcohol,Ku2wR5wRdsRa6W5CS8Io
おもちゃ,おもちゃ,Toy,LEIRjTjYYtAJj3nGFXss
妻,つま,Wife,LF2kxHbPkYO0qonzAUfn
届ける,とどける,deliver,LJD88PyYPdn43pjaaWGd
漬ける,つける,"soak, moisten, pickle",LSwUKnLzDLxXURGOKE7J
お子さん,おこさん,Child,LVNT6EkEtHDLBnThWnMr
試合,しあい,"Match, game, competition",LZSBSOgrnBe0lheJt8KF
～(に) よると,～(に) よると,according to,Lc3RnFO6XkJCdATpIfhh
ピアノ,ピアノ,piano,LdSdRSanTfpEBEQ51d25
急,きゅう,"Urgent, sudden; steep",LiqsECN6Z6xf45pj03zn
たまに,たまに,occasionally,LkLedz8DigczL457Ddck
昼休み,ひるやすみ,Lunch break,LkcGnYPXaaHamBIZsesY
折る,おる,"Snap, break; bend",LoSXKT2rkfuvuf3EdVVA
正月,しょうがつ,New Year,Ls5cURaXvcnVQu7EA4kz
お祝い,おいわい,"Congratulation, celebration",LyOPliyISY6EpFxXCFLj
飾る,かざる,"Decorate, Adorn",M3hz1gCCm7dNcsrY45Fk
だめ,だめ,"useless, no good, hopeless",ME62av23YXFNxP4oNbHq
治る,なおる,recover,MK20Pf5UbMNr4CTxytsa
美しい,うつくしい,"beautiful, lovely",MQymU3lVIM8Vt97W2wJW
経験,けいけんする,experience,MRTS5sHdmgTqGtq7CkOq
飛行場,ひこうじょう,Airfield,MhGLGoXLxAGjazU1w93T
決して,けっして,Never,MhZ8Qfpyu4MAmVsh2J6m
倍,ばい,Double,Mp0C7Z6qgW2yyaiv5sIO
釣る,つる,Fish,N0wqbvSr1OullpGVW763
展覧会,てんらんかい,Exhibition,N3YHfeSZPyc6LOQnlLuZ
凄い,すごい,"Terrific, great",N4JMguUV3SpdzICe96O2
続く,つづく,Tobecontinued,N8lpOitch9BWIzTM4qWm
申す,もうす,humbly say,NBj3pHLUliE357psmDG1
出発,しゅっぱつする,Departure,NE26sHE4KTJI9dCyR2Dk
おっしゃる,おっしゃる,Tosay(honorific)/ˈɒnəˌrɪfɪk/,NHHZrjemlet5MZp7RVD6
社会,しゃかい,society,NN8Lw6jHhw9nbdNMxngI
けんかする,けんかする,quarrel,NdawXBSML7J41UJSoCpd
祖母,そぼ,Grandmother,NgRHnQjeB8n6xEGDoDX7
変,へん,"strange, odd",NjHTboYjXg5mf1iZIBdF
今度,こんど,"This time, next time",NqDYiuuiozZltE8hVGki
点く,つく,to be switched on,NwZkmrokhN4UHKvjqdav
喉,のど,Throat,NzNGcajmX0OqA9xQNtMb
ベル,ベル,Bell,O6Us5CvAUnYenG4gJEyp
文化,ぶんか,Culture,OBhjyiuaOh5njSYE7BGS
怖い,こわい,"Scary, Frightening",OPSlww9XXY4puza4hxHa
趣味,しゅみ,"Hobby, pastime",OQLEvZ5lfitp0CBusZfl
郊外,こうがい,"suburb, outskirts",OZP78DPLwH8av7tYXf1p
探す,さがす,"Search, seek, look for",OlB0wzMLBMhEJnHt1HOE
パソコン,パソコン,Personal computer,OxynlTFmaZc48IKqDHRr
ビル,ビル,Building,OyEGhVw5DE4nE0ihqUEl
退院,たいいんする,Discharge,P05pxVcj63vVhf38wExq
見つかる,みつかる,"be found, be discovered",P2c2df9lCeCukTTYxVW3
ファックス,ファックス,Fax,PAaVIyydTgYJFyjEYrwh
踊る,おどる,Dance,PHLDEwTazcvnbNRaeH0e
～おき,～おき,at intervals of,PT60R3SAkBeDGonGuEs5
世界,せかい,world,PjqYxsbcdVKQzmFFvzaR
ステレオ,ステレオ,Stereo,Pl5tBjiIhIGYMWfHu3us
はず,はず,Should be so,PsC7rlsOAElCJpd3Cxgd
課長,かちょう,Section manager,Q1nb8wlXE4PusfRrXyKI
しっかり,しっかり,"firmly, steady",QCTUChvfGr7O5rsXOoeI
味噌,みそ,Miso bean paste,QDVOznvOHJHm3WVYwMku
ひどい,ひどい,"terrible, awful, unfair, cruel",QL3yUSbGChvb2305djuw
競争,きょうそう,"competition, contest",QQHzQwELH7oJ88szoNbi
科学,かがく,science,QRO1opeEzNFV4Wm85lPS
事務所,じむしょ,office,QY2OgKAZYrE6A48JuPCn
用事,ようじ,Business to take care of; tasks; errands,QYsziuR8CCOQF5VLbD9w
オートバイ,オートバイ,Motorcycle,QZI5EVBZ7y2ZDEZObsGS
季節,きせつ,Season,Qb2ot7Oo2QtQDL60tAVQ
準備,じゅんびする,Prepare,Qr8hQ2qd63ShSsCO7VRU
食料品,しょくりょうひん,Groceries,QvjZ9mArw13VO4HwhwhB
夢,ゆめ,dream,R1ccRNdocteh3oKOc0ZN
以上,いじょう,"More than, that is all",RAVOx1oWIV0Ln4yYgBfD
拝見,はいけんする,Humble seeing or looking at,RBZIiZDKXcDJgvLspCTz
背中,せなか,back,RMGrXXcOeyJjl2cUE7DF
ケーキ,ケーキ,Cake,RNT9ISMlzQJgic1acKqN
レジ,レジ,Cash register,RRQs3t627Scn6jqvecFS
泥棒,どろぼう,"thief, burglar",RTmLZUa6XQdXsJ3eQzCQ
適当,てきとう,Appropriate,RXbJM0aKWBp9eSNwG1gC
急ぐ,いそぐ,Hurry,Re79ljHEEDKf0mNZm13z
程,ほど,"Degree, extent",Re89olzRjYwgJzqrEpOo
見える,みえる,"to be visible, to come",Rm8duypwYlOn2obWYpLb
お土産,おみやげ,Souvenir,RmBM6hnzieW59kwKX3nS
焼ける,やける,"burn, roast",RsaUanNLDh8zqSevfvnr
踊り,おどり,Dance,Rwyjnk2fRRjrQsXWauJ2
答,こたえ,Answer,RxanL6LvK7OgGgzqvkqj
市,いち,City,S23CGlxZ3gmLn0MB5BgJ
寺,てら,Buddhist temple,S3MdakiY4XRrlfc0xNM9
指輪,ゆびわ,Ring,S3ycpMCw70xcnIhyMGeo
止む,やむ,"Cease, stop",SZrOilDlZY9XtNeNVA8q
心,こころ,"heart, mind",SdtC8hRVxkoodxNGagVC
動く,うごく,Move,Sly3YXmt8javzDxfSCLC
開く,ひらく,Open,SnClYHiaC0wLh1iqujZh
～月,～つき,-month,SnMfUzO43GeKJBpxZm23
畳,たたみ,Tatami mat,Soqf0t3DaWsIksAqvFQA
もらう,もらう,receive,T6dyFYwMXcKW7XEi9wuN
研究,けんきゅう,research,TCLkbK3kaL2dSf1jTTzB
返事,へんじ,"Reply, answer",TZesPEsfCQZmXkzT24QG
下る,くだる,"descend, drop, fall",Tam8UG7slSoeuxUFJxF7
変わる,かわる,"change, be transformed, vary",Tg6vqYdv87ETTtYOlZwb
彼ら,かれら,They,TlgK7cZukoxqP0fXuPBc
アジア,アジア,Asia,TvURSqnJI3qaop7ugFdY
沸かす,わかす,Boil,TycJEpY8o67hgNH01Z9K
港,みなと,"Harbor, Port",UK8uW26K7t658beS1RTg
自由,じゆう,Freedom,UTlW8sQy9fSdfeUtqoWj
紹介,しょうかい,Introduction,UTxLWybro7D2PvVNLe9a
浅い,あさい,"shallow, superficial",UXJZclzwnpVVqFpxPpZ3
客,きゃく,"guest, customer",UbvoXzgNwCMnfWZsuCxW
パパ,パパ,"Papa, Daddy",UdAZnU4RxEqgmODjdNrs
できるだけ,できるだけ,As much as possible,UgirvtTokDYan23hYFk9
空気,くうき,"air, atmosphere",UkJWi6V0wkvvOTZW2STU
泊まる,とまる,stay (overnight),Uphtb0Qr4GJuzkyMJJk6
会話,かいわ,conversation,UySSLK8ZBLZNJu13lsTZ
大体,だいたい,"Approximately, in most cases, in general",V8NKaTpegIiQCX2ZD76S
育てる,そだてる,"raise, bring up",V99bRN4psugHRrV8djsl
約束,やくそく,"promise, appointment",VWwZwlHcStAMZq2bR8EH
焼く,やく,"Bake, Grill",VXm4yzef4aaNFO13klQi
濡れる,ぬれる,get wet,VeXzu2Qzk0USl2WankRa
隅,すみ,Corner,ViQmqDozPomQ1uSNZA5e
受ける,うける,"take (an examination, interview, etc./ˌɛtˈsɛtərə/); receive",VzxBtde2qABRoKJ9VWBr
赤ちゃん,あかちゃん,Baby,W66dj8HjJINvZvpA46wt
お祭り,おまつり,Festival,WKh9NRCFyMT6yuXoDGnn
通う,かよう,commute,WLfeoXuhfMdamfKrTwyB
輸入,ゆにゅう,Import,WMKzUjXZBeUJZw6eOVUB
見つける,みつける,"Find, discover",WTOoqpuFF7HPblfQFurn
タイプ,タイプ,"Type, style",WfX8ljYrNntAdcGVpP7j
夫,おっと,husband,WjOesvgHTXyZSzV06WmU
講義,こうぎ,Lecture,WjSCHDPIaEqFfGaNSLna
枝,えだ,branch,WuoNsq2FsCzKKA8bDfQ3
湯,ゆ,Hot water,Wzra3cOxf76KZdcfae5B
女性,じょせい,Woman,X4319tA6BZtUq18bDfDb
特急,とっきゅう,Limited express,XFrtdsudGyMzdfEPWJPc
卒業,そつぎょう,Graduation,XKAPfMHNmpZQYyTeiUSi
びっくりする,びっくりする,be surprised,XWAyrUU93voCbavCKrAC
ソフト,ソフト,soft; soft hat; software,XfbhpGFImwuwOjcKLs3N
慣れる,なれる,get accustomed to,Xmmw2157yevEZASl3QLA
参る,まいる,"Go, come",Xq2WKL8iXqALnNlpgwVA
行う,おこなう,carry out; conduct,Xw29O9kCxsdRtfZJb7qh
乗り物,のりもの,vehicle,XzYJMqloilzU4DO1je3z
テニス,テニス,Tennis,YB25s5YNbsQREZv4Pzav
恥ずかしい,はずかしい,"Ashamed, embarrassed",YDKRyX09K7lurJx56mEa
連れる,つれる,take (a person)/ə//ˈpɜːrsən/,YLFsHovV2MB2wYyjvQHN
無くなる,なくなる,"Disappear, get lost",YPchPfH18s4szueonVuz
アクセサリー,アクセサリー,Accessory,YQg6jkv4FgS0bSyIENq2
起こす,おこす,Wake (someone) up,YVRFHIA0NYjwEQMBiqOJ
最後,さいご,"last, end",YbxiYu7sXnHJS7Vk3MUu
ガソリン,ガソリン,gasoline,YkOGXr02VjpN9Vm3aj6m
雲,くも,Cloud,Ykv1lop11g3GcB4cvnlD
確か,たしか,Certain / Definite,YpUnuStRy0JFlBocZRtD
数学,すうがく,Mathematics,Z8zQcxI8sGPQeM6cWDmE
家内,かない,Wife,ZH6CXUTcBxzweUVRZsnH
簡単,かんたん,Simple,ZKhrQ0pLrRpGfzDKs8RA
西洋,せいよう,The West,ZROL9nuGnEC2UjzjP24a
輸出,ゆしゅつする,Export,ZWACA3CxS3PqlVri3r8r
別れる,わかれる,"Part from, separate",ZaaO33MeIlHGpJ1jpzmE
小学校,しょうがっこう,Elementary school,Zkdud7rcYHMUIEfQ2ZcK
割れる,われる,Break,Zlvi3zg4yqqk3FA2MC60
だから,だから,"Therefore, so",ZmNOqpwyBJxaEgisafLK
払う,はらう,Pay,ZnJbdlQ4PiGS9teEirZh
内,うち,inside,ZsiX26aC1DOIi9Emh04w
それほど,それほど,to that degree,Zu2rWF4DygaUE8BQUrXz
落る,おちる,"Fall, Drop",a4fwQb0EzBQnCsZdU7rr
棚,たな,Shelf,a5nuF7uxugGQZLa9NLPh
ごらんになる,,"to see, to look at",aGEn4Tb3XmPqz1kfirgc
草,くさ,Grass,aHxSHuIWV9OQ3usESO8z
安全,あんぜん,"Safety, Security",aLksel48RdG9pU7U3XvD
笑う,わらう,"laugh, smile",adZ2mcxUauFxZXZyJem3
歯医者,はいしゃ,Dentist,ae82WaCX2JbjOtkYQhpj
建て,～だて,"Story, floor",af23VwOFihzpFyRMVBYu
～やすい,～やすい,easy to do,agapBF02Yp0C6UpZFuK4
部長,ぶちょう,Department manager,ahkrA3vZlcohjvm3FHER
親切,しんせつ,Kindness,ajQm9Xf6gyKIOxQTwjtf
木綿,もめん,Cotton,anfpxjaScTW9LJqdV9NN
