#separator:Comma
#html:false
#guid column:4
expression,reading,meaning,guid
ボーナス,ボーナス,Bonus,0jU5XwravUem8Wjtc6Tt
長男,ちょうなん,Eldest son,0mZ5xolN7pm0ATjapZdS
ダブル,ダブル,Double,0o3A5BiBCKwvC7VAepVA
～画,～かく,"Picture, Painting",0odYDW0Gteme58KYxiRV
電波,でんぱ,Radio wave,0oelWkbQJf9l05elqFd2
交通機関,こうつうきかん,Transportation facilities,0pw3jidTd6ZJUgiGygcz
低下,ていか,"decline, fall",0tj4VOW2dULHbfYMQVFu
荒い,あらい,"Rough, rude, wild",0wn7PQNmTz2IQuhDEy2o
～年生,～ねんせい,-year student,0xKEPa0TcSmflK9JZExD
炭鉱,たんこう,Coal mine,0xygCiTujGFbGC1k7d0h
しわ (かおの～),しわ (かおの～),Wrinkles,0zA1M4R0PyodTX9jEZk5
コース,コース,Course,0zNM7ZQV2SO2aP2wYDxh
湿気,しっき,"Moisture, humidity, dampness",10MbEq7yP4v38paRiEke
琴,きん,Koto,10bfjLlMQ5fYTBcKiDWF
自然科学,しぜんかがく,natural science,13Cu4AZa6ISpUpuRwPLq
物差し,ものさし,Ruler,15APhkzZ1jbhyI3dowwJ
～遍,～へん,time,15jrcMQrdJwj0vDBv9XV
自宅,じたく,One's own home,16LIwi3sg6fIM4Gruicj
近々,ちかぢか,"Soon, before long",18BzR0Poroq7Q3ErGJqT
〜 (まる) ごと,〜 (まる) ごと,the whole thing,1BbC55OlcZHmGyruOh93
基準,きじゅん,"Standard, basis, criteria",1C7QBAcd1a0kEBm8FJM2
怒鳴る,どなる,"shout, yell",1DcYXvzwCJ7jKYB5VE4R
やかん,やかん,Kettle,1HVTR5OvaluUucUdbg17
全身,ぜんしん,Whole body,1HkcFBhQ2IhnMbO7ReG0
不通,ふつう,"Interruption, blockade, stoppage",1IV8bV3cJInfEsXC9PzC
レジャー,レジャー,Leisure,1IpDjoyKdsySvlUCn0Xn
来日,らいにち,Visit to Japan,1KFkWeHfvspy1B2mA5xj
こうして,こうして,"Like this, thus",1KZI0G8vr3YI42Guzhnj
やっぱり,やっぱり,"after all, anyway",1M8gHfCdmmVcnkwqJchQ
押さえる,おさえる,"Press down, hold in place, seize",1Q8u69QFo9WE606MGY3V
丼,どんぶり,Rice bowl,1QAI6IrAYIMKV6Lfb26F
夜行,やこう,"Night travel, night train",1UlqSJLefxLp9bzNtJQ9
親指,おやゆび,thumb,1YIE2JWc2x8jCpao7LUm
定規,じょうぎ,Ruler,1YecdWqPnjv84aiBSq4R
恐縮,きょうしゅく,I am sorry to trouble you.,1ZyKkM0F9PXHzn9w5PQI
建つ,たつ,"to stand, to be built",1dJ9du3W05WJfbNbUE4K
方程式,ほうていしき,Equation,1e1ts8xtxyfPxndgqeaX
拡充,かくじゅう,expansion,1fRN7eHfsCZa7kqWnwFP
理科,りか,Science,1h6bvGTdknsXma1nxury
公表,こうひょう,"official announcement, proclamation",1hs2OkEfa0p2C6sX4XFj
校庭,こうてい,School yard,1kceGavE8V0hAf1fDzqn
講師,こうし,lecturer,1nhcKLx24Sde0sKw87bw
砕ける,くだける,break,1nsAa8wJxOZ6vICj3LBp
大工,だいく,Carpenter,1sFEK7E3ddrJbE09a4v8
回り道,まわりみち,detour,1uy85vhOeIxSDgeWslKk
工員,こういん,factory worker,1vZfzTrhTFRiOCJ6AdVP
方言,ほうげん,Dialect,1yGCPVn0FS6ExotwxdCs
～時間目,～じかんめ,-th period,1yoezSq42uwiLz5ek21x
それなのに,それなのに,"And yet, despite that",1zoZEMhmoT7sOcfjwGfP
～番目,～ばんめ,-th,1zsfIV9clYPjwex5Klli
清い,きよい,"Pure, clear, noble",2120C71jjSqWoWxo7mmV
以降,いこう,"On and after, hereafter",21yH2T5XGwnT0OPHWbKY
削除,さくじょ,Deletion,25DV3wulO0VwrdU3UWh1
欲張り,よくばり,Greedy,25NqvJEVqg91SIPnRcG8
見直す,みなおす,Review,27Z5ASC5c8aBcOxF2Mcs
めちゃくちゃ,めちゃくちゃ,"absurd, messed up, wrecked",27zN5qh7IniioIEvpPSx
将棋,しょうぎ,Shogi,29nJM9yq6lEn0kL2Zap0
瞳,ひとみ,Pupil,2CYnIUkOT9t2APuvwOCB
各地,かくち,Various parts of the country,2DYHoheivHhPjUriYnZ6
御～,おん～,Honorable ~,2GjE6taoO9Wb3euigrdE
着せる,きせる,dress someone,2JFQ9PVZRGASYWxe38Hs
バケツ,バケツ,Bucket,2JR0H75famUmhvdgdO6r
叔父,おじ,Uncle,2JcGIJG941AlA5Ejuhiq
手ごろ,てごろ,"Affordable, reasonable, handy",2KLSOLMrPJOvNmi2zpKs
純粋,じゅんすい,"pure, genuine, unmixed",2L8wN55b90xdLwfQXQcK
真っ先,まっさき,"foremost, first",2O3QSDBbP7pw1eVFGfzC
かけざん,かけざん,Multiplication,2RBwtPENRU5aYtG5T3vI
血圧,けつあつ,blood pressure,2Tl2IKO3nCQ0YrEW2riM
対立,たいりつ,"confrontation, opposition, antagonism",2f3hZ2tCAgHzk1zY42dW
縛る,しばる,"Tie, bind",2nBtRfn48YNeXgMDf9BU
張り切る,はりきる,"be in high spirits, to be full of vigor",2ntDt5hoY9MNvci60y5W
文体,ぶんたい,Literary style,2yyW8GQq4ozGAdk1bQxw
先頭,せんとう,"head, lead, vanguard",310gGKyfv5glXzgzZSak
やたらに,やたらに,randomly recklessly blindly,31lx3twhAcF3X5lietGU
リポート,リポート,Report,34dUNBn6pbIds684mmPV
シリーズ,シリーズ,Series,36Qqv3XV0q4TcjtF3cSr
近付ける,ちかづける,"Bring near, put close, let come near",3D1oTbOdNCO7O5Wd6yQz
破く,やぶく,tear,3GbXWa72atHoEQgc2uB7
付属,ふぞく,"Attached, affiliated",3GnUHsSQp1P5GsBhATuY
淡水,たんすい,fresh water,3JD6OS0GsmLdiXdrDdRH
ロッカー,ロッカー,Locker,3JLjVJCqXFizfFq7WGGs
吹雪,ふぶき,Blizzard,3Jv2k916Pi52FNk3Aajr
付近,ふきん,"vicinity, neighborhood",3LaVp0yltJKYFcS3b9Wz
エプロン,エプロン,Apron,3LxT72FMqwmGEQzjgJ3Q
団地,だんち,Housing complex,3M5k02ncAhJkniFMYI5m
残らず,のこらず,"Entirely, without exception.",3MyR73C8x7i2JlTxFHFR
名作,めいさく,Masterpiece,3NntlnzVk4dViTI3RGeR
慰める,なぐさめる,"Comfort, console",3QJesPdXRaGSDIgdn7jf
お代わり,おかわり,"Second helping, another cup",3Ty6kmXYCpG5RIG27sJQ
凹む,へこむ,"to be dentedbiːˈdɛntɪd, to be indentedbiːɪnˈdɛntɪd",3Vi7EmytFevxPT78wHeq
お先に,おさきに,After you.,3YSCtTYKk1pifOEB1F7L
浮く,うく,float,3ZSBAguZGsL8cWdyedwI
ブラシ,ブラシ,Brush,3ZgL7I1KzNU1z44o1kUE
歯磨き,はみがき,"Toothbrushing, toothpaste",3bJJFZ212muZ5OVs0t7F
葬式,そうしき,Funeral,3cAVyVNOlc9qXFnjq2Ro
利害,りがい,interests and disadvantages,3efS6lqBwQIi4KMH137Y
払い込む,はらいこむ,pay in,3fCzRZU5UMpwcVoE0xji
継続,けいぞく,Continuation,3iVxr2GFNhmiGjzYCtjV
見詰める,みつめる,"stare at, gaze at",3iwsXqAPqlNIa1iOfM58
せめて,せめて,At least,3jmp4NGGiK5FuyNvJPpM
乾かす,かわかす,Dry,3jnYFikh83VJFoMwjHwu
貯蔵,ちょぞう,"storage, preservation",3jzD23UOp90QtyacIk3q
引算,ひきざん,subtraction,3mGrP6MioQbMSo4iSY8C
～者,～しゃ,person,3oRL3OsdONJBqXRY8k6Q
出入り口,でいりぐち,Entrance and exit,3qPTlmQpg0uoyLvXYCZm
長短,ちょうたん,"Length, long and short",3vAiNSqwABHPPAvjoEm1
慌てる,あわてる,"Panic, fluster",3xMXfX0LsvBW4r7oYF4f
毛糸,けいと,Knitting wool,3z7asxqfCAFOdzYLFuKM
解散,かいさん,Dissolution,3zGvgUNUZF6XcGrL8laz
衣食住,いしょくじゅう,"food, clothing and shelter",41bEJ3b9Zb6cRILz9X8x
殿,どの,Mr.ˈmɪstər,43AimDx7JGTUJb1SfrBG
～着,～ちゃく,piece of clothing / arrival,457TPDAJ64Vq0LIT4K4l
特定,とくてい,"specific, special, particular",4IILp38IgQnJYZTib9bt
薄める,うすめる,"Dilute, water down",4O97J79Ba55J0zxZmb14
空想,くうそう,"daydream, fantasy",4Od0kJVjfoG3Ha4ZNxwf
マラソン,マラソン,marathon,4VZxXWQIZCa0ipqgguWY
預かる,あずかる,keep for,4XXr2fKBkvjaEHNtcuJQ
皮膚,ひふ,skin,4ZcM6UwzjRYVRF022FS0
つまずく,つまずく,"stumble, trip",4ayLZqxW83rA2G9LVSQb
並木,なみき,Row of trees,4dWTJlBPuzWkgsWgC4h3
出来上がる,できあがる,"Be finished, to be ready",4fwndxxu5DnuuLKt4plh
匂う,におう,"to be fragrant, to smell",4iG6Ksp4tifiGDfzR2tP
稽古,けいこ,"Practice, training, study",4ihFjDqdfHqPo0LLaqX3
寒帯,かんたい,Frigid zone,4izRcjzL3L5BJlWvbe3S
紺,こん,Navy blue,4kjXUdPRTxOTH3PTU7AC
間接,かんせつ,indirect,4lKxI4RDsGmBO3akl4mT
話し掛ける,はなしかける,"Accost a person, to talk (to someone)",4llg3vWsuNgmXzZ9AWZx
～社,～しゃ,-company,4mrqDqEfQcDARjEKfXpr
地面,じめん,"Ground, Earth's surface",4nBFmDKd1XU2ywqT0W8u
写る,うつる,"to be photographed, to be projected",4ogXII5tmnvyq05Quhud
放る,ほうる,Let go,4qEnBa0bYJd27NBRyUHj
構いません,かまいません,It is all right.,4rVLMtOmlr7M4yCNZr50
勝敗,しょうはい,Victory or defeat,4rmy7EVFf2VeBhhJ4IRC
座敷,ざしき,Tatami room,4sxOmpQqIYUoSgPDOXfM
採点,さいてん,"Grading, marking",4uhN1hfSlXKc3fpo32U1
縮む,ちぢむ,"shrink, be contracted",4wCUo4Ja45QRiCmxWFGS
冷凍,れいとう,"Freezing, cold storage",4zMuhl8EnoBaFVgaJxMP
口紅,くちべに,Lipstick,4zq58ncqeH2LooFjwhPI
祖先,そせん,Ancestor,50oizxRN05zPpGbezPCC
恨み,うらみ,Resentment,537SUkz8G76fTsBaWiRs
小母さん,おばさん,"Lady, woman, ma'am",54OOIc0SVNlfcsgCydz3
娯楽,ごらく,"Recreation, amusement",54PBtfIUNlkHUDTg0qXj
呼び掛ける,よびかける,"Call out to, accost, address (crowd), appeal",55x4ee9r9fX98Iz1rujD
着々,ちゃくちゃく,Steadily,57Ojs6Bx2wIJCLBCseNC
消耗,しょうもう,"Exhaustion, consumption",58oqEQaL4DkQ5peknxHG
器具,きぐ,Instrument,59m3DG48ODMO3A7hZhhH
手洗い,てあらい,Restroom,5Ap0waablVrpsHPi1nOs
通ずる,つうずる,"Lead, run, open",5BUWIvO1inuueOc07DGi
性能,せいのう,Performance,5DAWSJm69O8x01S5Zfly
洗剤,せんざい,Detergent,5GsYwX66GY5kssNOAMxY
相互,そうご,"mutual, reciprocal",5J92qvFWrMmaxEJZ4qiQ
～問,～もん,-questions,5JfOaZHJM5b5Iky4hNYc
～校,～こう,school,5JnmfLK958rDKSQxGXBu
神様,かみさま,God,5JvND2Pkl9ocMIEmyFJv
羨む,うらやむ,envy,5NpUygHYAg2k36uxp3Pu
限度,げんど,limit,5P3IH4K1vw2a4rypdM2V
パンツ,パンツ,Underpants,5Q60DklI1RcmgzQmboDX
取り消す,とりけす,cancel,5RyQm3rVrafw4Z6eyGU9
差し引き,さしひき,"Deduction, balance",5SmKjHLNufqcsAOfdH7j
知人,ちじん,acquaintance,5St7rawOmhWRzd51ElvQ
初めに,はじめに,"Tobegin with, first of all",5WRCnXpdaG7NiAKahko4
民謡,みんよう,Folk song,5Yg1SZRMwRUcSrwQelUI
親類,しんるい,Relative,5ZJBdJQLcxAXLIzquVqp
圧縮,あっしゅく,compression,5bF3fg7aQAdmmTyGke2T
伝記,でんき,biography,5ewd2Yi5qZhv1JIPOSAi
強化,きょうか,"Strengthen, intensify, reinforce",5hi5BlmLzJ714DYZ4Jb4
勝負,しょうぶ,"Victory or defeat, game",5jtvvbZUNVtfqfo8xq9e
解説,かいせつ,"Explanation, commentary",5lh0AMkOhakxlLR892xU
超過,ちょうか,Excess,5qSytI6XHSSDRO3uOEH2
正面,しょうめん,Front,5uOhEZMmM87q5vAraNXl
刺身,さしみ,Sashimi,5wKUoOEKOBtAdbUX2Mz4
〜(日本) 式,～(にほん) しき,Japanese style,5xKIQhiIxYj1us6pZUFT
番地,ばんち,House number,5xNxI8m3WTBKte7utG3E
冠,かんむり,"crown, wreath",5zOM4gNpAYIu8Eapqjvx
専制,せんせい,"Despotism, autocracy",603wy9RPpmKkN1OYE7f4
出張,しゅっちょう,Business trip,61Tx9isVzP0k8dSEvtdY
御免,ごめん,"Pardon, sorry",6547m4VlDobGmI1bch0D
貸し出し,かしだし,"Lending, loaning",66mD60YA5D0ac8xYdYFK
生ずる,しょうずる,"arise, cause, generate",6AFtOOVMQYOheR290WNW
すまない,すまない,Sorry,6Bn0R8F7ymVf7dqZLqxN
四季,しき,Four seasons,6Kg3tmPkNS1819kdeHEE
酢,す,Vinegar,6NWmKf2vjrjx4D0HXtIx
酒場,さかば,Bar,6OvCSyEWq77cWMG6onTh
乗り換え,のりかえ,Transfer,6P7bSONKsfmKdVBelbFg
寺院,じいん,Temple,6WHyKpFKGZlmRKVyAM3j
出迎え,でむかえ,Reception,6YKUfMZwoO9UcoMpiIGy
箇所,かしょ,"place, point, part",6cZNXaU7VQYwyQAmeEMV
統一,とういつ,"unity, consolidation, uniformity",6hC5S6N7iaApP95hmNWK
分類,ぶんるい,Classification,6i1UGaaOmUE42MJ8NaOc
夕刊,ゆうかん,Evening paper,6iPRUBpvblkA7YRBxbXy
学級,がっきゅう,Class,6kekhPaH7YTrq7X3kmjG
文房具,ぶんぼうぐ,stationery,6nX0l9N5pNofKWd6Yoao
分数,ぶんすう,fraction,6oloFf9IHz1Sbm6ufnYE
あいまい,あいまい,"vague, ambiguous",6p4zg3HDcTGbWFAjOxJn
同～,どう～,Same ~,6pPxD39O98mLKrN86kBa
削る,けずる,"shave, trim, deduct",6xZ1nWVXIUVsbehygzj7
雑音,ざつおん,Noise,6xaH0SFk6kTvMe9CmqeP
～形,～けい,~ shape,6yKyHMyXUyH0prtOiqY8
掃く,はく,"Sweep, brush, gather up",6yY6X9n5iXLEh61oWmBA
心得る,こころえる,"understand, have thorough knowledge",71i7Qf0mXf1PP2VMNeLq
夕日,ゆうひ,"evening sun, setting sun",73cfMauyksLcajCNav5i
ねじ,ねじ,Screw,76Z2DtgswIj2Im9BGaO3
学科,がっか,"Department, Course",76dRCkiipJZ0MygrueoZ
水産,すいさん,"Marine products, fisheries",7Apef6vwMmh7madWPEoJ
工夫,くふう,"Ingenuity, artifice, device",7FEHbklvcSOJrG8ktocN
北極,ほっきょく,North Pole,7JAEr3kX3mIAi6vO0m4N
通帳,つうちょう,Bankbook,7JhpNdCmVT3jZlnmwaGT
漢和,かんわ,Chinese-Japanese dictionary,7N39AsMLe85DR03Xlgnt
間も無く,まもなく,"Soon, in a short time",7P4ROSEAd1VVWJSoCGRk
かじる,かじる,"chew, bite (at)",7PrchymcpCm1NcSEAtWy
桁,けた,"digit, column, beam",7SL3Y8TFJ2HbjDJ9XnBF
捻る,ひねる,"Twist, Turn",7Ybvg5VepQang2PfXWGI
茶色い,ちゃいろい,brown,7bRpfCnwHawcW5MsV3u6
応用,おうよう,"application, practical use",7eEuDMtmq3AYDOt4Dlkg
～機,～き,machine,7gKmueIV1tGKN5X593nD
平凡,へいぼん,"Ordinary, common",7gMpvZBXTRz1fLLEyFcj
職場,しょくば,Workplace,7jTXohsl9YfiP2issiG8
もしかしたら,もしかしたら,"Perhaps, maybe, by some chance",7kBXhehcTdvgQaGerrVV
お世話になりました,おせわになりました,Thank you for your support.,7pWyG0oWHPlGEcPHjVUy
真空,しんくう,Vacuum,7rK8VaH8NxitfW0hW2iy
売れ行き,うれゆき,"Sales, demand",7sOS8JwYTmehYEUhSmsm
古典,こてん,Classics,7t9lQWmUK5aV9lblsbYM
甚だしい,はなはだしい,"Extreme, excessive, terrible",7w95y57sJ3CI0fNi8Gig
一休み,ひとやすみ,A short rest,7xLS8ipjibRuBSi1dwcq
手拭い,てぬぐい,Hand towel,7z4BRljNqvswR0q7uHcH
中性,ちゅうせい,"neuter gender, neutral",80LD14b8VV2ZfgKxR0D6
格別,かくべつ,Exceptional,82KJJmRHWYKN3YxF5zwu
吊す,つるす,Hang,83W0QLQWhWv51qSbzsva
改めて,あらためて,Again,85jWwsa39TkCu6GAkbGT
役所,やくしょ,Government office,89aVqubmySpqfP1JWnYQ
入社,にゅうしゃ,Joining a company,8DGOBudEsMm2TsRwf1xu
餅,もち,Rice cake,8DILnmGjffwhP1O8A9E5
思い切り,おもいきり,"With all one's strength, resignation, resolution",8EHbSyoV3zv1p3Aa9Fpu
消防署,しょうぼうしょ,Fire station,8H4l1L73Xv4vBOA2Wlm9
過半数,かはんすう,Majority,8JhBoW6zd6lUQuQUH0eB
民間,みんかん,"Private, civilian",8Jkzt9b4NJGAK0MrgbDO
三日月,みかづき,crescent moon,8Nxqm5crtPuJRKvPNTUe
蓄える,たくわえる,"Store, save, stock up",8P1dmwsoI2r5TcVmyqdh
～毎,～ごと,Every / Each,8PFTYZwJOTTy3XwVsZSR
毎～,まい～,Every ~,8SnqOomD7kQgUQgGJiQE
クーラー,クーラー,Air conditioner,8VhTgqWhcqH0TYAzEnrC
儲かる,もうかる,profitable,8XjoXm9sWcgtvTpiWqet
ひゃっかじてん,ひゃっかじてん,encyclopedia,8bJO06K1KTbsGWExbz5Z
西暦,せいれき,Western Calendar,8dfgfLtx0lkXnOwRZj59
好き好き,すきずき,Matter of taste,8duyOABmMxz72bdPubdM
蒸発,じょうはつ,evaporation; unexplained disappearance,8gqNs1Yimpkg0H2G4L51
長方形,ちょうほうけい,Rectangle,8kA66tRVqKwqUGFfiA3a
梯子,はしご,Ladder,8qaGiybfFblc0jgyMsAp
孝行,こうこう,Filial piety,8rAjmxOaxqb1HgbobAC8
中世,ちゅうせい,Middle Ages,8tHSXvJ4Otb56CVSa47b
別荘,べっそう,"Villa, vacation home, summer cottage",8uy6LUSThROje7zzTgDO
大通り,おおどおり,Main street,8wecMd4ytqzToOS95hFF
地盤,じばん,Ground,8x8cmyGR8VUhayvikW0e
糊,のり,"Glue, paste, starch",93AEMwkU0aHcVlgbVGF1
停車,ていしゃ,Stop,94Wde0Fjh2Iv68AtT0Nj
関西,かんさい,Kansai,96vCxPfTQpuTWBRf7VkN
流域,りゅういき,Basin,98eJaauXp664dyPaHTow
輸送,ゆそう,"transport, transportation",98sElYrkgRSvar65hn2i
～力,～りょく,Power of ~,99qTQA89g41t6dA4P3ys
勘違い,かんちがい,"Misunderstanding, wrong guess",9A3Umo3V8mjkdILw3yoU
一通り,ひととおり,General overview,9C2pqqr3YjDvTDTEa9bq
見本,みほん,Sample,9EPwSU90OnDCYEADrlGo
近寄る,ちかよる,"Approach, draw near",9ESQkdFOBZAAmSgV190D
潜る,もぐる,"dive, pass through; evade, hide",9MbH5OBPorYQEU02IrFo
くだらない,くだらない,"worthless, stupid, good-for-nothing",9O0ez0w61A8QLbFuVkxU
不潔,ふけつ,"Unclean, dirty",9OXlGA90WgSnX1qdHijx
要旨,ようし,"gist, essentials, summary",9OxL901QHrVRhOfT0PAK
コンセント,コンセント,Power outlet,9PD73paIef24iYFvISvw
粗筋,あらすじ,"Outline, Synopsis",9PDwCVvApcBwkrTTBWES
飾り,かざり,Decoration,9PSiZxEM0tAVZwR3A2dg
教養,きょうよう,"Culture, education, sophistication",9QC3XO7qv7uwCSauN2Zn
捩る,ねじる,Twist,9Sld4yvgb2ogadvLIUPj
役者,やくしゃ,actor,9Ttl3gDAEpgpTu4ZSLr2
振舞う,ふるまう,"behave, conduct",9UuSo4iq5vZRtdahDcr8
やかん,やかん,Kettle,9VcKHTf4m7iPuU2ADdEX
慶ぶ,よろこぶ,Rejoice,9ZGhcpjPIzu31UN3mZQF
水着,みずぎ,Swimsuit,9eX6S8gD1IbIWSV1mNMi
生け花,いけばな,Flower arrangement,9fAlqE2se84jV59jKLYl
電球,でんきゅう,light bulb,9gYygc5onn6gvNupNUAc
通用,つうよう,"circulation, popular use",9i4rs6TZBl3oI0kbyhwL
温まる,あたたまる,warm oneself,9jIUTXtGPyCc7pt0OLel
南極,なんきょく,"South Pole, Antarctic",9kPiEvCHB4CD1oSo0kgU
公害,こうがい,"Public nuisance, pollution",9qb9yVTTY9Cr937hIxMe
深夜,しんや,Late night,9toxTBcA2nAOQdF91eSR
カセット,カセット,Cassette,9uASOKNOZYqrFwBDgfnm
勝手に,かってに,Arbitrarily,9vYkqgQI2WEXb6aLa8gI
湯飲,ゆのみ,Teacup,9vcF0UumA6m9m0u995Wl
容積,ようせき,"Capacity, Volume",9xsUFbdP1g2sJJERZYBb
羊毛,ようもう,wool,9xz0208NoNG9WhdmS4XW
～戦,～せん,"match, game",A0aseYKUow6vvrvkGYUU
停止,ていし,"Suspension, interruption, stoppage",A0gxiuwKYLSWKLu70cZQ
俳句,はいく,Haiku,A2058yi2Y3obFVSfj4pk
～がち,～がち,tend to do,A2aWLT0M5kPA9gkQlvuZ
台詞,せりふ,"line, speech",A5JjJJJO6t9WtkRaFeXY
各～,かく～,Each~,A5azQ4iPsEBxDmsyAiWQ
賞品,しょうひん,Prize,AA7FULLCEe3no7A321cV
謙遜,けんそん,"Humility, modesty",ABXDk9lmuxGwJmtaTAxO
恵まれる,めぐまれる,be blessed with,ABtufOWI0KsCWI0BkZKW
紫,むらさき,Purple,ACpMksBfj1p7HokS5CaI
芸能,げいのう,Performing arts,ADHmTm3luMLGXmkpdvil
解く,ほどく,"unfasten, solve",AGh2usKol4MyL3La6oUc
コンクール,コンクール,Concours,AK85xvFFnB130NotA7Tm
さっさと,さっさと,Quickly,ALyzFO64tiHemWOx7EyH
基盤,きばん,"foundation, basis",AM1lHvS7D45gYP8MEusT
激増,げきぞう,Sudden increase,AMA5JNj7hz0FuYPnx4OH
仕方がない,しかたがない,"It can't be helped, it's inevitable.",APA6JSGwpMH0d7RiSSdO
公式,こうしき,"Official, formula",APRQJcxDfq0uYdL5Usm8
足る,たる,"To be sufficient, to be enough.",APZb9KUCX0S6d0ytjtCl
～通,～つう,counter for letters,AQAIX8ytgQeSE942c8NE
高める,たかめる,"Raise, lift, boost",AT8kqK8Yqps9dK5a5Jxr
仲直り,なかなおり,"Reconciliation, make peace with",AU2pwrJST8ixHPQeuld1
園芸,えんげい,"Horticulture, Gardening",AUugIZjBNCvMvyXtdXsf
締切,しめきり,Deadline,AY39OC3nvCk8cFvs7EKv
待ち合わせる,まちあわせる,rendezvous,Aac2IoZnRK3hkrLkAyRU
油断,ゆだん,"negligence, unpreparedness",Aeko3p4tINzUWFdkWFSb
女の人,おんなのひと,Woman,AfFIxOpd7yonULenU1oB
ウーマン,ウーマン,Woman,AfN4EOJY1Lw1Kyl0udUg
名詞,めいし,Noun,AiTEByFVLLT60xwT5a6h
円周,えんしゅう,Circumference,AjCTRWF119pFWnu1KEek
調味料,ちょうみりょう,condiment or seasoning,Akx4C3QrQ7Y5cc9UBidn
紅葉,もみじ,autumn leaves,AkyeNvjDldpT86boQJ99
定価,ていか,Fixed price,AlQckhzUmI1FkhAoSQRb
安易,あんい,Easy-going,AmELAfhBVPMZPzuV2Ajp
未～,み～,Not yet ~,AoFYFZ35f9HDzVIkREPE
～産,～さん,Made in ~,AoggikHm2RkoCq6rMMNM
鉄橋,てっきょう,iron bridge,AphyFAD16J3SNjRF6eGk
合流,ごうりゅう,"confluence, merge, join",Ar4Y82UgtZYWorCl9zNQ
スクール,スクール,School,AsoRBoizfgbY4LZV9ECF
速力,そくりょく,Speed,AwllCK9ZLW2ixLMsyRMo
平気,へいき,"Unconcerned, calm, fine",Ax4inr0NvvQPoIJ4Ad05
かたづく,かたづく,"to put in order, to dispose of, to solve",AxLhnFyq629KzkEewl58
養分,ようぶん,"nourishment, nutrient",AyP2qXRy1DXzYfQ9qq3h
複写,ふくしゃ,"Copy, duplicate",B0wHANUc0Gh5pEzOhKRu
テーマ,テーマ,Theme,B9GaQBABVGGhYcalV156
温帯,おんたい,Temperate zone,BBCXOwFU7wb6uqNus0ju
担ぐ,かつぐ,Shoulder or carry on shoulder,BDaYn1TuBU460CaY0734
毎度,まいど,Every time,BF5ZttQkqmujBTHN69wi
正味,しょうみ,net,BKhJOTkMkODaIKP8ICZe
櫛,くし,Comb,BLhjHo5YpUeadpw7bVqJ
拝む,おがむ,"worship, pray",BMy6foSZnDMSdGMfsCMc
～帳,～ちょう,"Notebook, book",BNUus2gyS7V0WPf5cYVW
こうよう もみじ,こうよう もみじ,"Autumn leaves, maple",BSyrXpamNzkXnHnuSm2d
睨む,にらむ,"glare at, stare; keep an eye on",BXEaRFhnil66MkvB2Ayg
電池,でんち,Battery,BYQ4GQBu0ZVo2shj46tu
～論,～ろん,Theory,BZP6yrbvjCOBSyhyWVdr
溶ける,とける,"melt, thaw, dissolve",BaTJkvuKbq0VgWGOH3Am
茂る,しげる,Grow thick,BfMjbzIL8pkDCzLviDPR
寸法,すんぽう,"Measurement, Size, Dimension",Bgnn2eA1kCplHsdvUAEQ
スピーカー,スピーカー,Speaker,BkxeeVl1EHsfDv8TaPQA
留守番,るすばん,House-sitting,BlM0MRYLubExI0fdKS68
元々,もともと,"originally, by nature, from the start",BnfzZsdm3eametKGDvGZ
