#separator:Comma
#html:false
#guid column:4
expression,reading,meaning,guid
村,むら,Village,5DoPSbvdWg8QX5HbitfN
七,しち,Seven,5ERDstBk5jU7jTYvJ6n1
暗い,くらい,"dark, gloomy",5ImxfBrP75Xbsh7pfvHU
宿題,しゅくだい,homework,5aDpQ5zpx6IBbdy1oOs6
一緒,いっしょ,Together,5dAnlg8UDLiTLd512lE7
しかし,しかし,"However, but",5lWQUtCdDlmzzC27B78M
郵便局,ゆうびんきょく,post office,5m898dlIWxzCn0WwFEuy
セーター,セーター,sweater,5tHOXdkkXcXSynszzL1t
いいえ,いいえ,No,644TIlJYnOwTJ65WShEb
耳,みみ,Ear,6470aHvoKhvgdCOn0IQ1
乗る,のる,"get on, ride in, board",6D7ULT5JYxFzSHfn12ED
おじいさん,おじいさん,"Grandfather, elderly man",6JPXX7PTL2ujvshDTn67
狭い,せまい,narrow,6RhGmCLXQH3XyvI7Ah3F
あれ,あれ,That one,6VXmcsAQamvo07fCtKni
お姉さん,おねえさん,Older sister,6dvCmeaDLmShZRvbkAD7
紅茶,こうちゃ,Black tea,6gSqi4OLLUuJ6wwDbip2
青,あお,Blue,6kwhvj0ZoK5IktthZgpX
大人,おとな,Adult,6wdBjxbRuZZQyPbmGfUP
どの,どの,Which,6x3FagcWvbPqiMw2MdEa
吸う,すう,"Inhale, suck",6yHPPumoRvsrvabiH1J8
～台,～だい,Counter for vehicles or machines,78YqKKzeXDHyKCYwsRlF
アパート,アパート,Apartment,7F4OQIxY4ie67A2RHR2f
～年,～ねん,~/~ years,7GEdXuBNX2eBJcZsiITf
食べ物,たべもの,Food,7LZKLEJBMwr3az3Q1Bxk
七つ,ななつ,Seven things,7QHLtAa88bQAVX7iX1b9
洗濯,せんたく,Laundry,7XHfoiebb65qrnZlRsYA
背広,せびろ,suit,7jawAkBylNZ9r7IW7pwX
遊ぶ,あそぶ,"play, spend time pleasantly, hang out",7q415hP9ej2VF7KdpEn5
夏,なつ,summer,7tvb23bKNt3rfs0lZ2bV
あちら,あちら,That way,83rIPfzmMNMkZ8F6PdAh
クラス,クラス,Class,8Avb1faT1ArhyKSZaf2y
映画,えいが,"movie, film",8OGKmwPGMtPGy1I8YSG8
スポーツ,スポーツ,Sports,8PTTPsiqRqNnO2F2l5Qd
会う,あう,meet,8Q7jT7ieaD6y1SiV5jun
浴びる,あびる,"bathe, shower",8QlVHLVvQQ9SbpNOT1xN
病院,びょういん,hospital,8Uwc9pclZMenidoyme5G
あなた,あなた,You,8XzaKGYWC8fFWVrLdXG6
風,かぜ,"Wind, breeze",8bhwYciCUiMZJFo5YWcY
降る,ふる,fall,8bygYJWUAx0dCUQo2qCX
千,せん,Thousand,8ew24JlEt11bfFnWKVU9
夜,よ,Night,8fGkMwVETXiPWZFynjDv
ペット,ペット,pet,8pVQj0PpHWDOukQlTnPM
辛い,つらい,"Spicy, Salty",91pem42u5h0sgfQnsOHL
四日,よっか,fourth day,94LnoDaF4CvbRPG90YSo
分かる,わかる,understand,94WlXWcxVwci3l5ga4fQ
西,にし,West,96Bwey1aZfPlqmjDUqOV
銀行,ぎんこう,Bank,9FGc6TkM8OMorJ0Ex7SE
次,つぎ,Next,9HKS1p8XnDOmZHFN1jAC
強い,つよい,Strong,9IsIX8GhWpkI6NCxWkRC
旅行,りょこう,"Travel, trip",9LssOp2EIEIC2q7aNBPE
台所,だいどころ,Kitchen,9SrwewLKWZOit4fIsTFp
私,わたし,I,9TWKxYiT2DdXn0Jumalr
長い,ながい,long,9hBpWxepYVME3Mkv9cGV
はい,はい,Yes,9nHMgYgTQUhcDliYpKLL
吹く,ふく,blow,9qbE1zY1nr8bSGDYppq3
美味しい,おいしい,"Delicious, tasty",9tZswoWjUosLGcOFAQvr
できる,できる,be able to do,A2iIAtSSahw7yMOYxBng
上手,じょうず,Skillful,A6rmKnqmYAz9Zaf7fv0e
三つ,みっつ,Three things,ABzBFCUVx4SAEHsRruVq
掛ける,かける,"hang, put on",ADjjN8aVMHBw9z2fhXE7
飛ぶ,とぶ,"Fly, Hop",AFZDms30AqMUt4sVApmN
タクシー,タクシー,Taxi,AJDUAQrpUIwPSmV7sX6Z
体,からだ,body,AJqCQoZ8FFygchyLnyz2
箱,はこ,box,ANlgZrMjWM6Ld24CHWJn
野菜,やさい,vegetable,ASfp8J1InwzznNgjvFdy
晴れる,はれる,To be sunny,Ad6oTFETVnMz8sibyVx1
～時間,～じかん,~/~ hours,AdPouVfKfwkiwNHTpraa
外,ほか,Outside,B5VATyFFuhI8RpgWFjzo
果物,くだもの,fruit,BA2DMkmCriRpWI7HlEZY
脱ぐ,ぬぐ,take off,BBJCnI0QesXEHbjzMWdD
着く,つく,"Arrive at, reach",BCT2FfYqwH4Wi57UCQk9
ベッド,ベッド,Bed,BELL7N3WCtLFR8fCdNtH
ポスト,ポスト,"Mailbox, post, position",BJT7I79OPvufra1Oc9uV
～時,～とき,o'clock,BSJG6IPivMsV49fUHvJm
丁度,ちょうど,"Just right, exactly",BUIzhvsXXxojqfWFcKzH
レコード,レコード,Record,BVrtvEkUx6HDHXdrzjyR
～円,～えん,Yen,Bfn8Ey6oJkOy5eNxcr6F
目,め,Eye,BgOOKi6GHUk8aTPP6AAz
走る,はしる,Run,C1JTMecBHS64bef0bVs2
飛行機,ひこうき,Airplane,C86zo9zUHMQrspK9Myu6
自動車,じどうしゃ,automobile,CLl6rwywlvp5D4jLWlrn
エレベーター,エレベーター,Elevator,Ce83g8LncVmUWQ8jias6
辞書,じしょ,dictionary,Clx6tQsA5vFHW9aGHYKe
頼む,たのむ,"request, ask",CmwZaPLMWtJue6BpsxTl
白,しろ,White,CprzfOeKYRORR6wDTXKb
姉,あね,Elder sister,D0ptcjcM4047EMhFOPk7
可愛い,かわいい,"Cute, adorable",D2a8ZVAyuFVJCQDVxuj5
する,する,"do, wear",DDTCINHIz74Gfvn1Bm2u
ああ,ああ,Ah,DELTk8Y3RBd5Ip1e8UK4
フィルム,フィルム,Film,DQqMtlKNTVHh5PSOqj46
～だけ,～だけ,"only, just",DWIUoBTcwkkFkJgyuc3u
留学生,りゅうがくせい,International student,DcWfAkQUiID87By3JeRx
飴,あめ,Candy,DjLL2E6jw3xhKRxYv7XN
背,せい,Stature,DjQHHXZna5TY0GChxPFQ
差す,さす,"Hold up, Raise",DwKZHpfQ8ppyFBf0lOlX
この,この,This,DxzOI0XAPj3uPNTi8ugG
名前,なまえ,Name,E9V1l491a1Mhr0UxnHT1
時々,ときどき,Sometimes,EDLZyyPf3ibwJqY3fOzr
～日,～じつ,"-day of the month, for -days",EHhg2bzF7dlGXOLFievW
晴れ,はれ,Sunny,EJrLbJUgoI01hRKad4qg
さあ,さあ,"Come now, well",EUn8mmlaQzEmaBSEOERa
作文,さくぶん,"essay, composition",EWG21GRM8B4LxzCKCURB
そっち,そっち,Over there,EfqDqdWJMxnSvfjBD0wr
お兄さん,おにいさん,Older brother,Ek7RVjfanLOK2Xe4zhll
～がる,～がる,to feel,EkQc0gSPjHrwXCc5eJi7
文章,ぶんしょう,"Sentence, text",Eo2WSzy8sOCQ393ape25
明後日,みょうごにち,The day after tomorrow,EvYU1MWJMx8UqlgqyDcx
昼御飯,ひるごはん,Lunch,F1mO9QDDxtxPR7yetW2s
日曜日,にちようび,Sunday,F4eTu3dp3hCv6zRR87Kh
鍵,かぎ,"Key, Lock",F9uSITjoIzq2XBnkl9NY
ギター,ギター,Guitar,FARnEaQJKfRgoKkjpZg1
曲る,まがる,"Turn, bend",FC0yCMbGh8YceXfee0Rf
池,いけ,Pond,FIl4vVaVdOr4SCv3WsAh
～ずつ,～ずつ,at a time,FPQtqPfeGLp70xawSa78
廊下,ろうか,Corridor,FSYa9HAEGEBzVQYwGiSo
弱い,よわい,weak,FpQ2gkXpJKTiGgarMMiu
東,ひがし,East,G9FAZu6b1BsKmEkuJCFe
道,みち,"road, street; way, directions",GB1Kkg0kyshr7TAu7Wgm
電話,でんわ,Telephone,GGc1JG7yAOkAft29vJd4
手,て,Hand,GVo7yDRnH8CCO8gwhf8P
広い,ひろい,"spacious, wide, broad",GeM36uVdN2X7p85UFfLq
靴下,くつした,socks,GhDuISFDkD2r1oXagF7K
海,うみ,Sea,GhJiiZId0RW7fcBlbGDx
ハンカチ,ハンカチ,Handkerchief,GlcMtagCgEYnZwHR8BxJ
字引,じびき,Dictionary,GpXMrfXL72QuCbnxvIdJ
夏休み,なつやすみ,Summer vacation,GtYAV7LID8wk0oYsyKj4
手紙,てがみ,Letter,H4v5KquoJ3hz8cfYfkD1
～さん,～さん,"Mr.ˈmɪstər, Ms.ˈmɪz",H6AWxGYbwRVJ8mDClRbZ
自分,じぶん,"myself, oneself",H8mkxpeNtISSM2kAECH3
～杯,～はい,-cupful,H9ZDhJqaIu6UaGBN2BkZ
～歳,～さい,-years old,HCkYnk5vSYi6ZMyRcBMd
居る,いる,"to be, to exist",HHzOARwm2FGr6iMABqRC
熱い,あつい,Hot,HNZ4wLm5B7seBZzTUtVt
入口,いりぐち,Entrance,HSLJp77pXjWG63jQyJGp
寒い,さむい,Cold,HVDa3DgIoJbeL4I5yrSv
顔,かお,Face,HYTa2vS71pSH3ApdPthc
もう,もう,"already, again, more",HezPPzlS4HhwxEG8qB8W
近く,ちかく,"nearby, in the neighborhood",HghwhMVWmtA8z2ohMstM
平仮名,ひらがな,Hiragana,HoAm9XIZLVN8vERcwRkK
半分,はんぶん,Half,HuOsxALDYJmwCh1Gx3xR
兄,あに,Elder brother,HxvkLaiV5I3TjDP9pC9c
何,なん; なに,What,HyQPdDxCpEDRtlsVI7Yp
温い,ぬるい,Lukewarm,HznRgAQxEcUOYjVHG3Ol
喫茶店,きっさてん,Coffee shop,I2l94L7NNwQR2BFrckl7
鳴く,なく,Cry,I5rvQisTNEvltQ5HHl99
置く,おく,"put, lay, place",I85VIuMbn2taue6twTam
動物,どうぶつ,Animal,IAaByyPJybuSqdyNTUcA
それでは,それでは,"In that situation, well then",IKa7FHjyYuFpadIvv9Lu
面白い,おもしろい,"Interesting, amusing",IMUrabKKaLnZLIBoweeH
あの,あの,"That over there; like that, that way; um",IPJuun9nttNgAJfbqnqG
撮る,とる,"Take (a photo), make (a film)",IUOUQ3yuUUrnMNrYtPXX
ゼロ,ゼロ,Zero,IVcAxKLSKNBVUVfGaiZu
出る,でる,"Appear, Leave",IYIDfqgYNfmnsQmHAMlZ
丈夫,じょうぶ,"Strong, solid, durable",Iu5OKv4yHPy8ciA2jXND
大好き,だいすき,Love,J6Li1TckoKl0lmnqWTfF
下,げ,"Under, below, beneath",JAHCOUJZ1yTbqI4oNhCE
緑,みどり,Green,Ja23M9MkAB4vodrfAZ0u
毎週,まいしゅう,Every week,JbtCH0WCM1XEXCmtEAZR
いつ,いつ,When,JfBzZ7buH5puWVlUXPx3
多い,おおい,Many,JnEudlyABBu6O8iMuPrY
カレー,カレー,Curry,JwW7fVeExS6QokyxOUX4
豚肉,ぶたにく,pork,K3RppGouJYYz5HY7XH0K
茶色,ちゃいろ,brown,K4SnfYZfrDT9zN6VcwYr
片仮名,かたかな,Katakana,K6zkYuUY4136lQtjR4tN
自転車,じてんしゃ,bicycle,K8So7d3N2L8dnCUs8A66
万,まん,ten thousand,KE8t0QYgBFh0bIwPBJjv
毎朝,まいあさ,Every morning,KHP11RcEXkTJWvlq91QL
かける,かける,"dial, call, sit down",KMDMFcmBmbxYTdxFpsak
意味,いみ,"Meaning, significance",KN0L4CuKRU1Ute0axDjP
こちら,こちら,"This person, this way",KNroz9fFf70WRsVZCo5H
二十歳,はたち,Twenty years old,KS10GPZF7LON90h5EeP5
いかが,いかが,How,KUdVKKuK3lzAm1XpJhnT
嫌い,きらい,Dislike,KX19FGUkPGuJaJlGzx7G
カメラ,カメラ,camera,KfkpW3xTPQUzy363lph3
来年,らいねん,Next year,Kmc2qMgUzCRhkUlaAuP7
トイレ,トイレ,Toilet,KrL2iNxLE5lczBDin6YW
黒,くろ,Black,KxSLbdBTW5K6a5XhNZfK
ちょっと,ちょっと,"A little, somewhat",Kxn9tYxb8oPn2hFdyH6I
電車,でんしゃ,Electric train,L19TgXOrGz28RTEsWw3P
～語,～ご,Language,L88L0pqPgSga6uhyNOIi
お皿,おさら,"Plate, dish",LCMKvL5d1so8OP7VM2z2
降りる,おりる,get off,LMiSvT763HMOvhKsZwY1
葉書,はがき,Postcard,LQt9O0PWTzztjqsjyaNz
プール,プール,Swimming pool,LlHJUoPeUequXqitXWdz
冬,ふゆ,Winter,M4iXrEgsOegKmczWnoLo
忙しい,いそがしい,Busy,M7lEXBuMW9dBcuW4Vpiu
そうして; そして,そうして; そして,"And, like that",MO6bG8tSqvJyy4WRV6fb
読む,よむ,Read,MORqFYTaUha3jhKwEv3Y
冷蔵庫,れいぞうこ,refrigerator,MPZp5bKh7LnYBCCvfP3z
牛乳,ぎゅうにゅう,milk,MQS27uaS080CjP2v4YCS
短い,みじかい,Short,MS2U3IWyMpsTR8I4QPSH
ボールペン,ボールペン,Ball-point pen,MYApJmqgw65sbdPfSZQM
なぜ,なぜ,Why,MZ5DzyjX2hVJxBQJT2XX
午後,ごご,"afternoon, P.M./ˌpiːˈɛm/",McSEkkFdBLh2Ll57k1pU
消す,けす,"Erase, delete, turn off power",MvQfQOAwaGxOiDXHwilo
結構,けっこう,"Splendid, enough, tolerably",MxMbrNFH0TkX9YVIxnwb
教える,おしえる,"teach, inform, instruct",MyZdratEaWZb9R9msHyg
言葉,ことば,"Language, word",N07SUQYyoGhcIh0YvmmV
閉める,しめる,Close,N0DQVdjpeW0fqoIXvTVe
キロ; キログラム,キロ; キログラム,kilo (kilogram),N1kc9PV3QqH71hwftm5c
テーブル,テーブル,Table,NErrdRzt7ySh9tmWPWNK
痛い,いたい,"Painful, sore",NM9a9byUM4LO0OVf1Joa
出かける,でかける,go out,NRWF2q60sEw26ahLjuVx
要る,いる,need,NYoZGacxMQiCi0rfWhxd
年,とし,"Year, Age",NZnmYeRFE57WoKxn8yxM
無くす,なくす,lose,OBvxzX4yhm6MeFHlZaoN
渡る,わたる,Cross,OC9xD9tyIXB1L4QndHMH
高い,たかい,"tall, high; expensive",ODe5J6R1ENAp4qJF6Xpk
さ来年,さらいねん,the year after next,OGYPrabWMpNMBu3LShwk
映画館,えいがかん,"Movie theater, cinema",OOdedbXY54gpkBc5bVh9
門,もん,Gate,OYzxFkunFNvh68wXuJmd
～度,～ど,Times; Degree; Point,OagMQVjau0ECqvWHQl8H
金曜日,きんようび,Friday,OmDL28q1iCCnZhjx1fTY
コップ,コップ,Tumbler or glass,OnOyzzqULlaNQtY5rZlv
大丈夫,だいじょうぶ,It's okay; No need to worry; Everything is under control,OoZEPkBiYNyEfx1aiTsU
少し,すこし,a little,OoyWn78BMknTQyG80fer
冷たい,つめたい,Cold,Ophlq3PvqqHRlLVXim22
新聞,しんぶん,newspaper,OpzFDXXa3T8JfnarxmNn
～中,～ちゅう,"during, while",OtbRIqdRMN8xY6zVQ0L8
帽子,ぼうし,"Hat, cap",OvMEeLUzwpDPp9x3KgvS
赤い,あかい,red,OvpYKQ7TCGECt53wlXvD
働く,はたらく,Work,P1n6PGlcM4efQ9W6sgx3
好き,すき,"Liking, fondness, love",P6eiZh87Zd4Uz39CeWxv
夕飯,ゆうはん,"Dinner, supper",P6xeG8wIsreG7GaUBHOQ
貸す,かす,Lend,PgeLZ7qMASo4GpLWHW9k
今週,こんしゅう,This week,PrM5KnH4H8r8biffSbmk
外国,がいこく,Foreign country,PteE4drGikjHIjxKxl0z
建物,たてもの,building,PtjfqVvF8JvXdz4ZJu36
ナイフ,ナイフ,Knife,PwUninm0RokUjKyYyCq3
交番,こうばん,Police box,QHWHW1swhiWJyaXjfNmj
茶碗,ちゃわん,Rice bowl,QHgQ9Cw43hWTaNXCMGQP
あそこ,あそこ,That place,QdZnDa4xOaTIK1RJysxO
散歩,さんぽ (する),Stroll,QeE6ULEHtAX06RqkN4gi
伯父; 叔父さん,おじさん,Uncle,QpYEVzHLnE8J2nXu8M1M
並べる,ならべる,"Line up, arrange side by side",Qpp92Ju0baBpz4vRqcv8
物,もの,Thing,QqQh113dnW8NRXIDni57
着る,きる,wear,QtuKlahZbRNrj0aLksde
今年,ことし,This year,R5Tm7DwCIpCdFeueuwpP
覚える,おぼえる,"learn, commit to memory, remember, memorize",R96T044d0Soo4aXS2pHH
弾く,はじく,play,RAS3zI49IbfthXfchAce
暑い,あつい,Hot,RBYMbVOl54hoq9fFtNrQ
また,また,"And, furthermore",RNdKzw395lFhT5bYN0cX
低い,ひくい,"low, short",ROEWpPHPFnu74GZnvrjw
安い,やすい,"inexpensive, cheap",RQCCjgEhKRoeMz8btWPC
ポケット,ポケット,Pocket,RQnRh4m7Ogl8hpBq70k7
ホテル,ホテル,Hotel,RSt6a1LwiJHj4g3rLtZA
学生,がくせい,Student,RXBvg9VAviqyI5y3YdSb
青い,あおい,Blue,RfgvxP0I6eOYyn7INf0b
咲く,さく,Bloom,RjNR5OwYhLPbSUbeIdWT
こんな,こんな,"like this, such",Rt9OPwReDPQiiLTjdKBP
ワイシャツ,ワイシャツ,Dress shirt,RwRgBztLjV3Fw6hraUkT
家,いえ,"House, home",S4iVISQetpl2kfPliDCS
八,はち,Eight,S7db61bSgnO5q2szhDKh
本,ほん,Book,S8QlehM7NkqQszrdVJ2J
じゃ; じゃあ,じゃ; じゃあ,"Well, then",S9sOoYPe5nLaewq4ZGGt
呼ぶ,よぶ,"call, invite",SAOK7lVmaUdz40X159V8
答える,こたえる,Answer or reply,SHGMqEegXsyloHnIjVkd
押す,おす,"Push, press, stamp",SPLsZxaC7kMoufmMjjzX
どんな,どんな,What kind of,Sf3TJAoLHtnp8CbHVlXo
ラジオ,ラジオ,radio,SgF1z6RgDN1InAnRX4Sc
開く,ひらく,Open,SnClYHiaC0wLh1iqujZh
～月,～つき,-month,SnMfUzO43GeKJBpxZm23
厚い,あつい,Kind,SsMOJDcIOq61hkBrhE4J
紙,かみ,paper,StgiPwzFX6p5dnQt7OaV
綺麗,きれい,"Pretty, clean, tidy",SuG5tbeHYdjeaaQNGNx4
父,ちち,Father,SyDdAflmczdlZrkEr0Q8
左,ひだり,Left,T5lA0IKJnDT7L3Z8jieb
地下鉄,ちかてつ,Subway,TC7r1utxZ9OK84x4TQtq
帰る,かえる,"return, go home",TItvJBtMZnfXyqBzP6wn
病気,びょうき,"illness, sickness",TOyUeW2EJTpt2mPkctPz
近い,ちかい,"near, close",TWx1n74pFGOEHrr20u3e
前,まえ,"before, in front",TbMmpdL8K698WrsviSrF
スプーン,スプーン,Spoon,TscxfXypTS3Dbn0vhbf7
かぶる,かぶる,wear,TtrGqlMJq1CGsnUkeOe2
切る,きる,"cut, hang up",U0NHTFJifdFWBeDBKjLO
コピーする,コピーする,Copy to do,U3JoNjBwviXDcr7bDiBk
生徒,せいと,"student, pupil",UGF9h3OVB96whmO0oyXo
両親,りょうしん,parents,UO8To9OFJwu6BHmtGX9Y
右,みぎ,Right,UO8c9YZRBwC1chEy1xEm
国,くに,Country,UZbunLp51B4534Jjl62X
ペン,ペン,Pen,UiCRQQXlDqaEbrbuoR0l
音楽,おんがく,Music,V2aKPQzuDi2cMfS8rkti
速い,はやい,Fast,V33rgHDrMRln6a1TLuRa
誰,だれ,Who,VBccKqC1wgGNAAlhofDg
そちら,そちら,Over there,Vdbc2zPi0ORP5kGn72ii
これ,これ,This one,VkmEpzGRkVFtWErCirZy
メートル,メートル,meter,Vp4dk4td3d3yPsoU80i8
太い,ふとい,"Fat, thick",VrXdA0Usiw9aU33W2Ia2
教室,きょうしつ,classroom,Vtjbl2zqSHGN4cxUjKEh
薬,くすり,Medicine,W3b4o3KOE2nwr8twSuEQ
全部,ぜんぶ,"All, Entire, Whole",WEIxBWgsnPlI4aiH4oN8
大きい,おおきい,"Big, large",WRC2PSnwjBdw84VQ4n4U
若い,わかい,Young,WV6XhIf0Im2dPbzjzPsJ
花,はな,flower,WWHJitUYVGIUoxXh6xpk
入る,はいる,"enter, contain, hold",Wd6ERqKWaaqh9Kz44XwS
掃除,そうじ (する),"cleaning, sweeping",WlRdEgm6kPfa8FJd2xJ3
小さな,ちいさな,"Small, little",Wzmsfvh3oDPBiDVl429P
とても,とても,very,XM1km7RN5GbKCnBlvXaQ
お手洗い,おてあらい,"Restroom, bathroom",XTcMmbukSpCVulkTXGar
女,おんな,woman,XaCREyYkpaCWbhfgG7Dr
一人,ひとり,One person,Xd1wGo7HO3LcbSBYvSdm
ニュース,ニュース,News,Xd2sFUiGXADP2pKYgZQk
歯,は,Tooth,XdSSxEQbuJczZwhudDZ5
元気,げんき,"Energetic, healthy",XiHJcPxx5NJARLqJJjeo
山,やま,Mountain,Xj3qnU5XHbe3WRGGIneK
同じ,おなじ,Same,Xzdo3fZ15wuRrQvsjSXD
地図,ちず,Map,Y0LA3fj1kmzQgIBGxELu
では,では,"Then, well, so",Y3jLFLU78dbySntZ3Npd
色々,いろいろ,Various,YCQGZhuxv5TwcAT2qlNK
北,きた,North,YQqbpT21xzZ9j7Rw8oMq
渡す,わたす,hand over; cross,YaIy0dRcwUJjApifQXW0
一昨日,いっさくじつ,The day before yesterday,YcMMzgq0RLiZnNkkW5T8
毎日,まいにち,Every day,YclHBcP1iy2Vf8LGNd5d
まっすぐ,まっすぐ,Straight ahead,Yr855gyvo1dlVyHSVi6A
～枚,～まい,counter for flat objects,YyoR6rfWHPIUoNv7f92i
並ぶ,ならぶ,line up,ZFG4BAsEeL7hYjkHaVZn
番号,ばんごう,Number,ZMdt224srtwClZcOltF5
皆さん,みなさん,Everyone,ZYRvfMlqrRq35vGCmoxb
四,よん,Four,ZeDYQWkDfPjxVcU079hO
一番,いちばん,"Number one, best",ZgO5hqHQpP02Lqt5hPzX
医者,いしゃ,"doctor, physician",ZgfUHapd95GKh333LRUt
すぐに,すぐに,"Immediately, soon",Zju6p8RpIqCGTUPJnD4c
みんな,みんな,Everyone,ZmvLWIxgbmohh6Gl9Df7
欲しい,ほしい,Want,ZnruLBZKEbCr9F2qb9ND
まだ,まだ,"still, yet, besides",Zoc3tG6PURgXPVySO5aT
女の子,おんなのこ,girl,ZpdGA7XrOXLjvsCdbWMr
料理,りょうり,"Cooking, cuisine",ZvcapUv9o8y7cbAccsl6
絵,え,Picture,ZzEPo8Vm85Q2c23rl7wc
つまらない,つまらない,"boring, dull; insignificant",a8yz35I9y7LdC57eSjIt
向こう,むこう,"Beyond, over there",aDFsYlxKoshSTxkOYle3
春,はる,Spring,aTpFrjK1eGugC57Dosq4
売る,うる,Sell,aUaOgy2yVkOPKXzjbK2o
午前,ごぜん,"Morning, A.M./ˌeɪ.em/",aWrXHzl7w31vW83Kl2Ou
朝御飯,あさごはん,Breakfast,afXur33SGiRgO3kMIFvU
窓,まど,Window,aj0NPSLXTDV1Y9sVLAv2
上,かみ,"Above, up, top",aphQdlslhx5fOeuyq0ox
お菓子,おかし,"Confections, sweets, snack",at8FtDYrG8876UL8m5C9
そこ,そこ,"there, bottom",auQ9M65VTFbhccha3ev1
～すぎ,～すぎ,too much,awV6lIPcShGnHiJh0bNy
洗う,あらう,Wash,b8VeNbh0HvSiKnml2pg9
デパート,デパート,Department store,b9DK1jsvuiYtLmrEgvtN
去年,きょねん,Last year,b9Gw4g3d4qVeHS8SjRRf
そう; そうです,そう; そうです,Yes; that is so,bKMhEtFGR0qAwqeA4vaB
大切,たいせつ,Important,bXdO9m6eDhao8d6WnGLA
六日,むいか,Six days,bcp1WmSEZNR1EkYuD3jq
本当,ほんと,"True, Real",beR1Ol7e7Ee7V11BUcGr
朝,あさ,Morning,bfo1MHViHI5FqdkkPvAy
南,みなみ,South,bh17HMCXYF6DWBLR1dih
